,0
회사명,0
거래소코드,0
회계년도,0
소속코드,0
통계청 한국표준산업분류 코드 10차(대분류),0
산업코드,0
산업명,0
상장일,0
상장폐지일,0
현금및현금성자산(IFRS),0
유동금융자산(IFRS),17
매출채권 및 기타유동채권(IFRS),0
상각후원가측정 유가증권(IFRS),132
매출채권(IFRS),4
미수금(IFRS),8
단기대여금(IFRS),91
선급금(IFRS),8
기타유동자산(IFRS),1
상품(IFRS),129
제품(IFRS),117
원재료(부재료)(IFRS),85
토지(IFRS),46
건물 및 부속설비(IFRS),41
기계장치(IFRS),60
차량운반구(IFRS),68
공구,79
회원권(IFRS),149
배출권자산(IFRS),136
매입채무(IFRS),11
미지급금(IFRS),7
미지급비용(IFRS),12
선수금(IFRS),36
당기법인세부채(미지급법인세)(IFRS),0
기타유동부채(IFRS),19
장기차입금(IFRS),106
보통주자본금(IFRS),0
주식발행초과금(IFRS),20
자기주식(IFRS),131
기타포괄손익누계액(IFRS),66
이익준비금(IFRS),143
미처분이익잉여금(결손금)(IFRS),0
매출액(수익)(IFRS),0
제품매출액(IFRS),147
기타수익(IFRS),149
종업원 급여비용(IFRS),3
급여(IFRS),3
퇴직급여(IFRS),12
복리후생비(IFRS),9
보험료(IFRS),72
여비교통비(IFRS),16
임차료(IFRS),26
접대비(IFRS),67
감가상각비(IFRS),7
광고선전비(IFRS),55
차량유지비(IFRS),72
연구개발비(IFRS),102
대손상각비(IFRS),52
기타(IFRS),103
이자수익(IFRS),81
외환차손(IFRS).1,79
외화환산손실(IFRS).1,96
법인세비용(IFRS),56
label,93
