,회사명,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,상장일,상장폐지일,현금및현금성자산(IFRS),유동금융자산(IFRS),매출채권 및 기타유동채권(IFRS),상각후원가측정 유가증권(IFRS),매출채권(IFRS),미수금(IFRS),단기대여금(IFRS),선급금(IFRS),기타유동자산(IFRS),상품(IFRS),제품(IFRS),원재료(부재료)(IFRS),토지(IFRS),건물 및 부속설비(IFRS),기계장치(IFRS),차량운반구(IFRS),공구,회원권(IFRS),배출권자산(IFRS),매입채무(IFRS),미지급금(IFRS),미지급비용(IFRS),선수금(IFRS),당기법인세부채(미지급법인세)(IFRS),기타유동부채(IFRS),장기차입금(IFRS),보통주자본금(IFRS),주식발행초과금(IFRS),자기주식(IFRS),기타포괄손익누계액(IFRS),이익준비금(IFRS),미처분이익잉여금(결손금)(IFRS),매출액(수익)(IFRS),제품매출액(IFRS),기타수익(IFRS),종업원 급여비용(IFRS),급여(IFRS),퇴직급여(IFRS),복리후생비(IFRS),보험료(IFRS),여비교통비(IFRS),임차료(IFRS),접대비(IFRS),감가상각비(IFRS),광고선전비(IFRS),차량유지비(IFRS),연구개발비(IFRS),대손상각비(IFRS),기타(IFRS),이자수익(IFRS),외환차손(IFRS).1,외화환산손실(IFRS).1,법인세비용(IFRS),label
0,(주)다이나믹디자인,145210,2015,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,,10376890.0,1548731.0,76489422.0,,73146602.0,8908833.0,1389280.0,4681653.0,4562882.0,54117.0,8408258.0,6787084.0,10375813.0,60737230.0,133373946.0,1240297.0,9311662.0,351833.0,,18739238.0,6413629.0,3625207.0,2612589.0,1177187.0,2612589.0,12388238.0,5941320.0,74917120.0,-871067.0,2844519.0,124666.0,82928264.0,227815365.0,192833297.0,3776328.0,46876840.0,9858434.0,732394.0,770720.0,0.0,1124308.0,321202.0,548483.0,606909.0,0.0,631073.0,384223.0,1011029.0,1565029.0,550223.0,2136822.0,2881977.0,184992.0,1.0
1,(주)다이나믹디자인,145210,2016,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,,15192647.0,19759.0,64094563.0,0.0,0.0,0.0,0.0,0.0,3774958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3479736.0,5471643.0,6666589.0,5941320.0,74939520.0,-998124.0,-1685232.0,0.0,38878340.0,204284452.0,0.0,204284452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26507018.0,0.0,0.0,0.0,7248212.0,1.0
2,(주)다이나믹디자인,145210,2017,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,,6564156.0,3537843.0,52668392.0,0.0,50969720.0,12717613.0,3034705.0,1746478.0,2319417.0,0.0,5653594.0,5877122.0,9609065.0,68408833.0,129456800.0,1032819.0,9465745.0,277833.0,0.0,19694879.0,8804575.0,4634417.0,2578949.0,5123362.0,2882316.0,7560092.0,14025358.0,66855482.0,-2418790.0,-3657676.0,481149.0,-11106445.0,165349941.0,0.0,3287824.0,39598546.0,7842166.0,488054.0,1080434.0,0.0,714039.0,429687.0,674894.0,473481.0,0.0,600540.0,498155.0,1248094.0,1621830.0,389447.0,2365382.0,2147683.0,-696299.0,1.0
3,(주)대우건설,47040,2012,1,41,64101,  종합 건설업 ,2001-03-23,,388440274.0,118527442.0,3472326304.0,,2999336000.0,1095078000.0,169222000.0,580554864.0,899767411.0,1037000.0,0.0,249691098.0,133799000.0,211476000.0,288000514.0,103272000.0,80829000.0,28691000.0,,467642637.0,678469012.0,219930000.0,1175534000.0,59490928.0,1175821195.0,794603000.0,2078113190.0,548200218.0,-101723000.0,-59051742.0,60351000.0,777768000.0,8223432761.0,0.0,105132761.0,802635000.0,137394000.0,16082000.0,42841000.0,4891000.0,8200000.0,28926000.0,0.0,2990000.0,20784000.0,0.0,17223000.0,75946000.0,42720296.0,41596150.0,38000000.0,23052000.0,54918791.0,0.0
4,(주)대우건설,47040,2013,1,41,64101,  종합 건설업 ,2001-03-23,,409596263.0,154651779.0,3717071381.0,,3595024000.0,933792000.0,77326000.0,458025795.0,726445528.0,977000.0,0.0,149573000.0,142552000.0,211523000.0,282307000.0,97279000.0,80245000.0,33657000.0,,486496126.0,564337956.0,481142000.0,1265227000.0,66816731.0,1265331426.0,468013893.0,2078113190.0,548200218.0,-101723000.0,-112603077.0,60351000.0,73169000.0,8782195639.0,0.0,98130639.0,913926000.0,150237000.0,21495000.0,45607000.0,5878000.0,7767000.0,30499000.0,0.0,4666000.0,7553000.0,0.0,16120000.0,172225000.0,51927885.0,33361642.0,34514000.0,23702000.0,-121688653.0,0.0
5,(주)대호에이엘,69460,2012,1,24,32402,  1차 금속 제조업 ,2002-11-11,,13732280.0,61642.0,26612443.0,,25946305.0,1450124.0,1600.0,385920.0,350982.0,0.0,7753692.0,9162726.0,13136238.0,13579519.0,39017516.0,0.0,0.0,541810.0,,1443239.0,374821.0,2487481.0,4454.0,397288.0,67638.0,14277880.0,13567420.0,332581.0,-2799911.0,12523691.0,342317.0,6195829.0,151031967.0,74206508.0,75729512.0,11556948.0,1938901.0,334296.0,424616.0,98889.0,124924.0,185312.0,233351.0,424731.0,6075.0,195931.0,457676.0,466521.0,0.0,705331.0,81987.0,73266.0,729454.0,1.0
6,(주)대호에이엘,69460,2013,1,24,32402,  1차 금속 제조업 ,2002-11-11,,12673962.0,3760000.0,19282823.0,,18990714.0,720745.0,720000.0,110128.0,102510.0,0.0,8589010.0,7893921.0,13136238.0,13610519.0,40997814.0,0.0,0.0,265720.0,,2062838.0,575811.0,2568883.0,68764.0,266446.0,140394.0,4447320.0,13567420.0,332581.0,-101441.0,12523451.0,342317.0,2291199.0,139063658.0,74885957.0,64177701.0,12448629.0,2273158.0,271719.0,525759.0,120340.0,131613.0,209592.0,256942.0,307062.0,5640.0,208483.0,546598.0,232971.0,0.0,699319.0,1364346.0,45148.0,-313972.0,1.0
7,(주)대호에이엘,69460,2014,1,24,32402,  1차 금속 제조업 ,2002-11-11,,20800364.0,153219.0,37211492.0,,12162310.0,25420865.0,0.0,2830.0,88602.0,0.0,2403378.0,1191841.0,12092040.0,6401875.0,30633004.0,0.0,0.0,265720.0,,1190866.0,257169.0,2150254.0,34212.0,,34212.0,13859780.0,13567420.0,332581.0,-950065.0,15677134.0,342317.0,-8343216.0,131723452.0,59941478.0,71781974.0,10784074.0,1498654.0,233624.0,237588.0,46242.0,66164.0,104200.0,96064.0,46864.0,0.0,75666.0,630347.0,66532.0,0.0,0.0,0.0,0.0,642085.0,1.0
8,(주)서연,7860,2012,1,71,33003,  전문 서비스업 ,1989-09-09,,143012676.0,17682535.0,393368661.0,,367088188.0,24028997.0,0.0,14753275.0,8249422.0,11510484.0,26859655.0,63700640.0,73331358.0,182896864.0,271702326.0,17071316.0,265142442.0,4525813.0,,332320003.0,56098857.0,16131266.0,767207.0,13439477.0,4790968.0,107686656.0,19707927.0,11326981.0,-12340839.0,20117722.0,4327000.0,110657877.0,2088646585.0,327846097.0,2088646585.0,246100209.0,40652569.0,2575331.0,7694665.0,665016.0,3839914.0,1798036.0,1571362.0,3760140.0,427692.0,879515.0,0.0,-2081331.0,9849151.0,4513827.0,9037746.0,4688673.0,29674505.0,0.0
9,(주)셀트리온,68270,2018,1,21,32101,  의료용 물질 및 의약품 제조업 ,2018-02-09,,410547609.0,120626667.0,931778939.0,0.0,808928371.0,123828751.0,4771616.0,20672768.0,372782.0,28671926.0,42974472.0,77213156.0,291989000.0,307424312.0,143802255.0,506842.0,28734280.0,0.0,0.0,20695167.0,46685821.0,83998215.0,69712165.0,36795049.0,69712165.0,103082540.0,125456133.0,761047500.0,-118907031.0,9970125.0,2281397.0,13708432.0,982074960.0,0.0,0.0,165997870.0,38908997.0,0.0,4360833.0,0.0,2300077.0,1252564.0,1081901.0,1672646.0,12006778.0,0.0,108059663.0,0.0,10256953.0,10796699.0,7376642.0,417839.0,64162718.0,1.0
10,(주)셀트리온,68270,2019,1,21,32101,  의료용 물질 및 의약품 제조업 ,2018-02-09,,546137583.0,81667744.0,826742457.0,0.0,815460634.0,12053847.0,4571616.0,15398403.0,123441.0,20203654.0,163911587.0,107463296.0,291877539.0,335182708.0,174373408.0,587722.0,32693187.0,0.0,0.0,42699750.0,70027651.0,96886956.0,29373988.0,42502567.0,31785071.0,139502097.0,128337853.0,786358491.0,-177062953.0,3000228.0,2281397.0,155370113.0,1128459878.0,0.0,0.0,209351247.0,46378390.0,0.0,6333001.0,0.0,2496519.0,396837.0,1163900.0,2969961.0,7988484.0,0.0,113568073.0,0.0,12945353.0,12056589.0,3354249.0,2168770.0,80588584.0,1.0
11,(주)셀트리온,68270,2020,1,21,32101,  의료용 물질 및 의약품 제조업 ,2018-02-09,,684293887.0,14034381.0,1315716455.0,0.0,1253468678.0,64193090.0,4571616.0,19335118.0,25820927.0,15523688.0,178980381.0,175125044.0,301762599.0,357307421.0,194887422.0,704228.0,30438864.0,0.0,0.0,33962627.0,119802762.0,131192402.0,54396814.0,100355643.0,57823841.0,199869876.0,134997805.0,812155732.0,-191825374.0,6298419.0,2281397.0,387018394.0,1849115532.0,0.0,0.0,243184577.0,55148299.0,0.0,5201983.0,0.0,1416851.0,279032.0,1074778.0,3186460.0,5246634.0,0.0,171437188.0,0.0,14125053.0,5722184.0,7322427.0,4431102.0,131449106.0,1.0
12,(주)신화다이나믹스,1770,2012,1,24,32401,  1차 금속 제조업 ,1988-11-23,,10418555.0,1269000.0,31668762.0,,31376820.0,227675.0,0.0,40540.0,474619.0,0.0,1415833.0,21987439.0,8973944.0,6594562.0,11904691.0,345682.0,482123.0,0.0,,14094430.0,246262.0,70539.0,217648.0,,217648.0,0.0,6074390.0,1410861.0,0.0,-1892.0,0.0,799860.0,93073417.0,68613216.0,24460201.0,4256854.0,998959.0,80548.0,115876.0,64326.0,3676.0,2360.0,47752.0,353707.0,2080.0,31664.0,0.0,297410.0,1330.0,,561948.0,728697.0,131233.0,1.0
13,(주)신화다이나믹스,1770,2013,1,24,32401,  1차 금속 제조업 ,1988-11-23,,5306120.0,0.0,32379181.0,,35572189.0,685703.0,0.0,29937.0,136316.0,0.0,1831630.0,15935072.0,8973944.0,6594562.0,11942281.0,345682.0,498792.0,773041.0,,9550624.0,310941.0,44240.0,195986.0,,195986.0,0.0,6074390.0,1410861.0,0.0,-5661.0,2663600.0,-1879533.0,77052874.0,75918106.0,1134768.0,4235432.0,1040801.0,64827.0,120859.0,61870.0,4369.0,2411.0,41122.0,339845.0,1300.0,33740.0,0.0,203096.0,145251.0,0.0,482839.0,192988.0,-558193.0,1.0
