iter	Passed	Remaining
0	3	3903
1	8	4178
2	11	3868
3	16	4090
4	19	3889
5	22	3654
6	25	3569
7	30	3756
8	33	3708
9	38	3781
10	41	3753
11	44	3672
12	49	3785
13	52	3708
14	58	3821
15	61	3806
16	64	3726
17	67	3681
18	71	3693
19	74	3657
20	77	3623
21	81	3611
22	84	3588
23	88	3585
24	90	3543
25	93	3505
26	96	3465
27	101	3514
28	103	3477
29	106	3444
30	109	3422
31	114	3473
32	118	3469
33	121	3453
34	124	3430
35	128	3449
36	133	3471
37	136	3444
38	138	3420
39	142	3412
40	146	3415
41	149	3405
42	152	3389
43	156	3395
44	159	3389
45	162	3371
46	165	3354
47	168	3338
48	170	3318
49	173	3298
50	176	3289
51	179	3271
52	181	3249
53	184	3240
54	187	3225
55	190	3217
56	193	3207
57	196	3193
58	199	3185
59	202	3170
60	206	3172
61	208	3160
62	211	3149
63	214	3137
64	217	3125
65	220	3120
66	223	3114
67	226	3108
68	229	3099
69	232	3086
70	235	3078
71	238	3075
72	241	3062
73	243	3050
74	246	3039
75	249	3027
76	252	3026
77	255	3017
78	257	3004
79	260	2994
80	263	2985
81	267	2993
82	270	2983
83	272	2975
84	275	2967
85	278	2958
86	283	2978
87	286	2970
88	289	2962
89	292	2954
90	296	2963
91	299	2959
92	302	2953
93	305	2947
94	308	2941
95	314	2957
96	317	2951
97	320	2946
98	322	2937
99	325	2931
100	329	2929
101	331	2921
102	334	2911
103	337	2906
104	340	2899
105	343	2895
106	346	2887
107	348	2878
108	351	2873
109	355	2879
110	359	2878
111	362	2873
112	365	2868
113	368	2864
114	371	2858
115	374	2854
116	377	2852
117	380	2844
118	383	2838
119	386	2832
120	390	2833
121	393	2830
122	396	2828
123	399	2824
124	403	2823
125	406	2819
126	410	2823
127	413	2819
128	416	2815
129	420	2812
130	423	2809
131	426	2807
132	430	2803
133	432	2798
134	436	2796
135	439	2793
136	442	2789
137	445	2783
138	448	2778
139	452	2777
140	455	2775
141	458	2770
142	461	2765
143	464	2764
144	468	2763
145	471	2757
146	474	2751
147	476	2745
148	479	2740
149	483	2737
150	486	2732
151	489	2729
152	492	2724
153	495	2723
154	499	2720
155	502	2717
156	505	2711
157	508	2708
158	511	2707
159	515	2704
160	518	2701
161	521	2697
162	524	2694
163	528	2694
164	531	2691
165	535	2688
166	538	2684
167	541	2679
168	544	2677
169	547	2673
170	550	2669
171	553	2665
172	556	2661
173	559	2656
174	562	2652
175	565	2648
176	568	2645
177	572	2643
178	575	2639
179	578	2636
180	581	2633
181	584	2627
182	588	2627
183	591	2625
184	595	2623
185	598	2619
186	601	2616
187	605	2615
188	609	2615
189	612	2613
190	615	2608
191	619	2605
192	622	2604
193	626	2601
194	629	2599
195	633	2597
196	636	2593
197	639	2592
198	643	2590
199	646	2586
200	650	2585
201	653	2583
202	657	2579
203	660	2575
204	663	2573
205	667	2572
206	670	2570
207	673	2563
208	676	2560
209	680	2561
210	684	2559
211	687	2555
212	690	2550
213	694	2549
214	698	2549
215	701	2546
216	704	2542
217	707	2538
218	712	2539
219	715	2536
220	718	2531
221	721	2527
222	724	2525
223	728	2522
224	731	2518
225	734	2514
226	736	2509
227	740	2507
228	743	2504
229	747	2501
230	750	2498
231	753	2494
232	757	2494
233	760	2490
234	763	2486
235	767	2483
236	770	2480
237	773	2477
238	777	2475
239	780	2471
240	783	2467
241	787	2465
242	790	2461
243	793	2458
244	796	2454
245	799	2451
246	803	2448
247	806	2444
248	809	2441
249	812	2438
250	815	2433
251	819	2431
252	823	2430
253	826	2427
254	829	2423
255	833	2421
256	837	2420
257	840	2417
258	843	2412
259	846	2408
260	849	2406
261	853	2403
262	856	2400
263	860	2397
264	863	2394
265	867	2392
266	870	2389
267	873	2386
268	877	2384
269	881	2383
270	884	2379
271	887	2375
272	890	2372
273	894	2370
274	898	2369
275	902	2366
276	905	2363
277	911	2366
278	915	2365
279	918	2362
280	922	2359
281	926	2358
282	929	2355
283	933	2352
284	936	2350
285	941	2350
286	946	2351
287	950	2350
288	956	2352
289	959	2350
290	963	2347
291	968	2348
292	972	2347
293	989	2375
294	995	2378
295	1008	2398
296	1012	2396
297	1018	2398
298	1024	2401
299	1029	2401
300	1033	2400
301	1038	2401
302	1042	2399
303	1047	2397
304	1051	2395
305	1055	2392
306	1058	2389
307	1061	2385
308	1067	2387
309	1071	2384
310	1074	2380
311	1078	2377
312	1082	2374
313	1085	2371
314	1088	2366
315	1091	2361
316	1094	2357
317	1098	2354
318	1100	2350
319	1104	2346
320	1106	2341
321	1110	2339
322	1113	2334
323	1116	2329
324	1119	2325
325	1122	2320
326	1126	2318
327	1130	2315
328	1133	2311
329	1135	2306
330	1139	2303
331	1143	2300
332	1146	2297
333	1150	2293
334	1153	2289
335	1157	2287
336	1160	2283
337	1164	2281
338	1168	2278
339	1172	2275
340	1175	2272
341	1180	2270
342	1183	2267
343	1187	2264
344	1191	2261
345	1195	2259
346	1199	2257
347	1202	2253
348	1206	2250
349	1210	2247
350	1213	2244
351	1217	2242
352	1220	2237
353	1225	2237
354	1229	2233
355	1233	2231
356	1236	2227
357	1239	2223
358	1243	2220
359	1246	2215
360	1249	2212
361	1253	2208
362	1256	2205
363	1260	2202
364	1263	2198
365	1267	2194
