iter	Logloss
0	0.6890635715
1	0.6844952024
2	0.6802810936
3	0.6765572383
4	0.6726294258
5	0.6690141835
6	0.6655186334
7	0.6617483011
8	0.658289786
9	0.654902737
10	0.6517585962
11	0.6478428341
12	0.6441544692
13	0.6391996122
14	0.6352364389
15	0.6319278967
16	0.6275253173
17	0.6246491171
18	0.6220159735
19	0.6184455686
20	0.6143508925
21	0.6108383817
22	0.6077599207
23	0.6042095407
24	0.6003585016
25	0.5966062408
26	0.5930090395
27	0.5899220963
28	0.5873009469
29	0.5838288174
30	0.58131753
31	0.5777905005
32	0.5752801813
33	0.5718285471
34	0.5686387978
35	0.5648135346
36	0.5610529864
37	0.5584667915
38	0.5558828945
39	0.5533677649
40	0.5507228164
41	0.5471726866
42	0.5444643169
43	0.5420957621
44	0.539816667
45	0.5378420782
46	0.5360150574
47	0.5329241626
48	0.5298102132
49	0.5277153433
50	0.524725553
51	0.5223575996
52	0.5202294169
53	0.5174398216
54	0.51450227
55	0.5123678469
56	0.5092788667
57	0.5069801396
58	0.5042760828
59	0.5020067296
60	0.4998659351
61	0.4980273806
62	0.4951760005
63	0.4920670467
64	0.489716109
65	0.4872330657
66	0.484785659
67	0.4830688759
68	0.4805997508
69	0.4777882453
70	0.475341699
71	0.4730815847
72	0.4703504377
73	0.4680824837
74	0.4655177706
75	0.4628866685
76	0.4606226833
77	0.4579004209
78	0.4555056727
79	0.4532344418
80	0.4512585498
81	0.4490597015
82	0.446873406
83	0.4445774091
84	0.4420269163
85	0.4399559771
86	0.4380124391
87	0.436280867
88	0.4345250873
89	0.4319336362
90	0.4300193218
91	0.4283603809
92	0.426955433
93	0.4252948759
94	0.4230113093
95	0.4211974765
96	0.4187993034
97	0.4170156963
98	0.4147450648
99	0.4121338857
100	0.4105107243
101	0.4086312713
102	0.407064605
103	0.4052638429
104	0.4032911707
105	0.4011507099
106	0.3998402699
107	0.3980546727
108	0.3958770401
109	0.3936749682
110	0.3919986288
111	0.3900241458
112	0.3878741184
113	0.3859082645
114	0.3846119368
115	0.3832444554
116	0.3810106597
117	0.3795564079
118	0.377597425
119	0.375699749
120	0.3735940716
121	0.3716226459
122	0.3701504271
123	0.3686630623
124	0.3674969884
125	0.3660696169
126	0.3645582028
127	0.3630584214
128	0.3613610884
129	0.3602559864
130	0.3587112259
131	0.3574215874
132	0.3557093871
133	0.3547230344
134	0.3532041269
135	0.3511057896
136	0.3500077359
137	0.348769777
138	0.3470865629
139	0.3454795079
140	0.3440614772
