iter	Passed	Remaining
0	29	2061
1	61	2086
2	85	1912
3	112	1862
4	137	1791
5	161	1723
6	189	1703
7	212	1647
8	234	1586
9	255	1533
10	276	1485
11	303	1468
12	325	1429
13	353	1413
14	375	1376
15	398	1346
16	424	1323
17	457	1320
18	479	1286
19	508	1270
20	534	1247
21	556	1215
22	590	1207
23	618	1184
24	640	1153
25	663	1122
26	685	1091
27	706	1059
28	730	1033
29	753	1004
30	776	976
31	798	948
32	827	928
33	864	915
34	889	889
35	916	865
36	943	841
37	967	814
38	994	790
39	1017	763
40	1047	741
41	1072	714
42	1099	690
43	1122	663
44	1148	637
45	1172	611
46	1198	586
47	1224	561
48	1254	537
49	1284	513
50	1309	487
51	1333	461
52	1356	435
53	1382	409
54	1411	385
55	1438	359
56	1459	332
57	1487	307
58	1509	281
59	1530	255
60	1551	228
61	1575	203
62	1600	177
63	1632	153
64	1656	127
65	1686	102
66	1711	76
67	1734	51
68	1757	25
69	1780	0
