회사명,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,상장일,상장폐지일,현금및현금성자산(*)(IFRS)(천원),유동금융자산(*)(IFRS)(천원),매출채권 및 기타유동채권(*)(IFRS)(천원),이연법인세자산(IFRS)(천원),상각후원가측정 유가증권(IFRS)(천원),매출채권(IFRS)(천원),미수금(IFRS)(천원),단기대여금(IFRS)(천원),선급금(IFRS)(천원),기타유동자산(*)(IFRS)(천원),상품(IFRS)(천원),제품(IFRS)(천원),반제품(IFRS)(천원),재공품(IFRS)(천원),원재료(부재료)(IFRS)(천원),저장품(소모품)(IFRS)(천원),미착품(IFRS)(천원),완성건물(IFRS)(천원),용지(IFRS)(천원),미완성공사(IFRS)(천원),미완성건물(IFRS)(천원),기타재고자산(IFRS)(천원),장기대여금(IFRS)(천원),장기당기손익인식금융자산(IFRS)(천원),투자부동산(*)(IFRS)(천원),토지(IFRS)(천원),건물 및 부속설비(IFRS)(천원),구축물(IFRS)(천원),기계장치(IFRS)(천원),중장비(IFRS)(천원),시설장치(IFRS)(천원),제설비(IFRS)(천원),미착자산(IFRS)(천원),차량운반구(IFRS)(천원),선박(IFRS)(천원),항공기(IFRS)(천원),"공구,기구,비품(IFRS)(천원)",리스개량자산(IFRS)(천원),임대(주택)자산(IFRS)(천원),임차개량자산(IFRS)(천원),건설중인자산(IFRS)(천원),유형탐사평가자산(IFRS)(천원),임대주택용지(IFRS)(천원),미완성임대주택(IFRS)(천원),임대주택토지(IFRS)(천원),완성임대주택(IFRS)(천원),임대주택(IFRS)(천원),기타임대주택자산(IFRS)(천원),기타유형자산(IFRS)(천원),영업권(IFRS)(천원),개발비(IFRS)(천원),특허권(IFRS)(천원),기타산업재산권(IFRS)(천원),컴퓨터소프트웨어(IFRS)(천원),브랜드(IFRS)(천원),라이선스와 프랜차이즈(IFRS)(천원),저작권(IFRS)(천원),회원권(IFRS)(천원),제이용권(사용권)(IFRS)(천원),개발중인 무형자산(IFRS)(천원),무형탐사평가자산(IFRS)(천원),제호와 출판표제(IFRS)(천원),"조리법, 공식, 모형, 설계 및 시제품(IFRS)(천원)",배출권자산(IFRS)(천원),기타무형자산(IFRS)(천원),장기매출채권(IFRS)(천원),*특수관계자장기매출채권(IFRS)(천원),장기공사미수금(IFRS)(천원),장기분양미수금(IFRS)(천원),장기미수금(IFRS)(천원),*특수관계자 장기미수금(IFRS)(천원),장기임대미수금(IFRS)(천원),장기미청구공사(IFRS)(천원),장기임대주택채권(IFRS)(천원),장기대출채권(IFRS)(천원),장기미수수익(IFRS)(천원),장기보증금(IFRS)(천원),기타장기채권(IFRS)(천원),매입채무(IFRS)(천원),미지급금(*)(IFRS)(천원),보증금(*)(IFRS)(천원),미지급배당금(IFRS)(천원),미지급비용(IFRS)(천원),단기차입금(IFRS)(천원),단기매입채무 및 기타유동채무(IFRS)(천원),선수금(*)(IFRS)(천원),장기당기법인세부채(미지급법인세)(IFRS)(천원),(추정공사손실)(IFRS)(천원),이연법인세부채(IFRS)(천원),기타유동부채(*)(IFRS)(천원),사채(*)(IFRS)(천원),전환사채(IFRS)(천원),신주인수권부사채(IFRS)(천원),장기차입금(*)(IFRS)(천원),장기매입채무(*)(IFRS)(천원),기타장기충당부채(*)(IFRS)(천원),장기공사선수금(IFRS)(천원),기타비유동부채(IFRS)(천원),보통주자본금(IFRS)(천원),우선주자본금(IFRS)(천원),주식발행초과금(IFRS)(천원),감자차익(IFRS)(천원),합병차익(IFRS)(천원),재평가적립금(2001년 이전)(IFRS)(천원),기타자본잉여금(IFRS)(천원),주식할인발행차금(IFRS)(천원),배당건설이자(IFRS)(천원),자기주식(IFRS)(천원),매도가능금융자산평가손익(IFRS)(천원),환산 관련 외환차이 적립금(환율변동차이)(IFRS)(천원),파생상품평가이익(IFRS)(천원),파생상품평가손실(IFRS)(천원),기타포괄손익누계액(*)(IFRS)(천원),주식매입선택권(IFRS)(천원),이익준비금(IFRS)(천원),기업합리화적립금(IFRS)(천원),재무구조개선적립금(IFRS)(천원),기업발전적립금(IFRS)(천원),기타법정적립금(IFRS)(천원),재평가손익(IFRS)(천원),보험수리적손익(IFRS)(천원),기술개발준비금(IFRS)(천원),연구및인력개발준비금(IFRS)(천원),사업손실준비금(IFRS)(천원),퇴직급여적립금(IFRS)(천원),기타임의적립금(IFRS)(천원),기타이익잉여금(IFRS)(천원),미처분이익잉여금(결손금)(IFRS)(천원),*전기이월미처분이익잉여금(결손금)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),상품매출액(IFRS)(천원),제품매출액(IFRS)(천원),건설계약으로 인한 수익(공사수익)(IFRS)(천원),임대수익(IFRS)(천원),분양수익(IFRS)(천원),수수료수익(IFRS)(천원),기타수익(IFRS)(천원),당기상품매입액(IFRS)(천원),기초제품재고액(IFRS)(천원),(기말제품재고액)(IFRS)(천원),(대체)(IFRS)(천원),종업원 급여비용(IFRS)(천원),급여(IFRS)(천원),퇴직급여(IFRS)(천원),복리후생비(IFRS)(천원),보험료(IFRS)(천원),여비교통비(IFRS)(천원),임차료(IFRS)(천원),접대비(IFRS)(천원),감가상각비(IFRS)(천원),세금과공과(IFRS)(천원),광고선전비(IFRS)(천원),차량유지비(IFRS)(천원),연구개발비(IFRS)(천원),경상연구개발비(IFRS)(천원),대손상각비(IFRS)(천원),미분양주택관리비(IFRS)(천원),기타(IFRS)(천원),이자수익(IFRS)(천원),배당금수익(IFRS)(천원),외환차손(IFRS)(천원),외화환산손실(IFRS)(천원),지분법이익(IFRS)(천원),투자자산처분이익(IFRS)(천원),"유형,리스자산처분이익(IFRS)(천원)",무형자산처분이익(IFRS)(천원),사채상환이익(IFRS)(천원),법인세환급액(IFRS)(천원),대손충당금환입액(IFRS)(천원),전기오류수정이익(IFRS)(천원),채무면제이익(IFRS)(천원),보험차익(IFRS)(천원),이자비용(IFRS)(천원),기타대손상각비(IFRS)(천원),재고자산감모손실(IFRS)(천원),외환차손(IFRS)(천원).1,외화환산손실(IFRS)(천원).1,지분법적용투자주식손상차손(IFRS)(천원),기부금(IFRS)(천원),투자자산처분손실(IFRS)(천원),보상비(IFRS)(천원),법인세추납액(IFRS)(천원),전기오류수정손실(IFRS)(천원),법인세비용(IFRS)(천원),label
(주)다이나믹디자인,145210,2015,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,,5547269.0,1283261.0,51267205.0,0.0,,44474552.0,0.0,1154237.0,3412650.0,4562882.0,0.0,6465865.0,0.0,6442845.0,457100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5131106.0,0.0,1459203.0,7556729.0,34955559.0,1457080.0,57823103.0,0.0,381137.0,0.0,0.0,231608.0,0.0,0.0,5699084.0,0.0,0.0,0.0,15489697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22647.0,1522207.0,0.0,0.0,0.0,351833.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2195004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11066663.0,6586718.0,0.0,0.0,835535.0,0.0,0.0,2449943.0,0.0,0.0,0.0,2449943.0,0.0,0.0,0.0,7551950.0,0.0,0.0,0.0,0.0,5941320.0,0.0,74917120.0,0.0,0.0,0.0,902705.0,0.0,0.0,0.0,2687773.0,0.0,0.0,0.0,2687773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89743931.0,0.0,132222767.0,0.0,129613470.0,0.0,0.0,0.0,0.0,2609297.0,0.0,0.0,0.0,0.0,7853035.0,4657278.0,498649.0,468635.0,0.0,543343.0,25355.0,117849.0,259509.0,0.0,0.0,485206.0,384223.0,0.0,499365.0,0.0,233294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2136822.0,2881977.0,0.0,0.0,0.0,0.0,0.0,0.0,1032733.0,1
(주)다이나믹디자인,145210,2016,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,,7869589.0,0.0,40740254.0,1981532.0,0.0,0.0,0.0,0.0,0.0,3165316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8165527.0,0.0,0.0,1435326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84893794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12682497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4663743.0,0.0,0.0,0.0,1500000.0,0.0,5002110.0,0.0,0.0,5941320.0,0.0,74939520.0,0.0,0.0,0.0,902705.0,0.0,0.0,-998123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38878340.0,0.0,125808178.0,0.0,0.0,0.0,0.0,0.0,0.0,125808178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19917047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9539579.0,1
(주)다이나믹디자인,145210,2017,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,,1514457.0,3254319.0,21471135.0,4924040.0,0.0,32785273.0,7557672.0,3203378.0,1858751.0,2319417.0,0.0,5046574.0,0.0,4471428.0,590041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2662494.0,0.0,1411448.0,6896794.0,45471087.0,1416874.0,59856270.0,0.0,381137.0,0.0,0.0,249045.0,0.0,0.0,5929846.0,0.0,0.0,0.0,805153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26505.0,1608024.0,0.0,0.0,0.0,277833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6600411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12580742.0,8621313.0,0.0,1860.0,2337767.0,0.0,0.0,446548.0,0.0,0.0,0.0,446548.0,0.0,0.0,0.0,5000000.0,0.0,2216369.0,0.0,0.0,14025358.0,0.0,66855482.0,0.0,0.0,0.0,902705.0,0.0,0.0,-2418791.0,0.0,0.0,0.0,0.0,0.0,0.0,117786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46716657.0,0.0,100374133.0,0.0,0.0,0.0,0.0,0.0,0.0,2829041.0,0.0,0.0,0.0,0.0,10195353.0,4225093.0,476040.0,511617.0,0.0,279995.0,209600.0,441826.0,225990.0,0.0,0.0,510732.0,504675.0,0.0,8538049.0,0.0,132130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9208734.0,0.0,2365382.0,2147683.0,0.0,0.0,0.0,0.0,0.0,0.0,-4431729.0,1
(주)대우건설,47040,2012,1,41,64101,  종합 건설업 ,2001-03-23,,323571800.0,106005862.0,3516673581.0,537265996.0,,3042949959.0,1099663000.0,171303000.0,567330036.0,899767411.0,0.0,0.0,0.0,0.0,239944000.0,5251000.0,156069000.0,20860000.0,569043234.0,84983000.0,0.0,0.0,588524000.0,0.0,189874297.0,36916000.0,58123000.0,1010000.0,255314659.0,0.0,0.0,0.0,0.0,102005000.0,64200000.0,0.0,51844000.0,0.0,,,9780000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36741000.0,0.0,0.0,0.0,27808000.0,0.0,0.0,0.0,0.0,0.0,,70300521.0,0.0,0.0,0.0,0.0,301854000.0,0.0,0.0,0.0,0.0,0.0,78000.0,115726000.0,0.0,465412414.0,675864000.0,45581999.0,0.0,215084378.0,0.0,0.0,1081619750.0,0.0,0.0,0.0,1081619750.0,650000000.0,0.0,0.0,520941000.0,0.0,135929383.0,246657000.0,0.0,2078113190.0,0.0,548200218.0,0.0,0.0,0.0,0.0,0.0,0.0,-101723000.0,19880000.0,0.0,0.0,0.0,-57897291.0,0.0,59770000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47299709.0,0.0,819357792.0,0.0,8180269589.0,0.0,0.0,7802025000.0,0.0,324505000.0,0.0,53739589.0,0.0,0.0,0.0,0.0,754273000.0,129940000.0,15707000.0,41152000.0,4621000.0,7965000.0,28000000.0,0.0,2990000.0,50641000.0,19884000.0,0.0,17223000.0,17223000.0,75905000.0,0.0,21473417.0,,,37990000.0,20680000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,168242000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56151157.0,0
(주)대우건설,47040,2013,1,41,64101,  종합 건설업 ,2001-03-23,,324046180.0,152156177.0,3721650004.0,729586359.0,,3587764000.0,948580000.0,79103000.0,436233499.0,726445528.0,0.0,0.0,0.0,0.0,138552000.0,6320000.0,72484000.0,14643000.0,1020963443.0,125225000.0,0.0,0.0,505176000.0,0.0,190372850.0,37897000.0,58810000.0,1010000.0,249118184.0,0.0,0.0,0.0,0.0,95935000.0,76281000.0,0.0,49423000.0,0.0,0.0,0.0,2451000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40358000.0,0.0,0.0,0.0,34408000.0,0.0,0.0,0.0,0.0,0.0,,67763145.0,0.0,0.0,0.0,0.0,349204000.0,0.0,0.0,0.0,0.0,0.0,386000.0,182951000.0,0.0,479998952.0,557054791.0,52471936.0,0.0,473172000.0,0.0,0.0,1209008978.0,0.0,0.0,0.0,1209008978.0,950000178.0,0.0,0.0,403488000.0,0.0,541874433.0,484256000.0,0.0,2078113190.0,0.0,548200218.0,0.0,0.0,0.0,0.0,0.0,0.0,-101723000.0,19669000.0,0.0,0.0,0.0,-102164147.0,0.0,59770000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48299709.0,0.0,88514720.0,0.0,8417075007.0,0.0,0.0,8375822000.0,0.0,16373000.0,0.0,24880007.0,0.0,0.0,0.0,0.0,863472000.0,143301000.0,20981000.0,44260000.0,5390000.0,7619000.0,29382000.0,0.0,4666000.0,59338000.0,7013000.0,0.0,16120000.0,16120000.0,171876000.0,0.0,25321185.0,0.0,7870000.0,34513000.0,22964000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111607000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-127568854.0,0
(주)대호에이엘,69460,2012,1,24,32402,  1차 금속 제조업 ,2002-11-11,,9451733.0,60042.0,15617855.0,484686.0,,15120837.0,1499109.0,0.0,218929.0,350982.0,0.0,2059222.0,2290196.0,17303903.0,2450570.0,0.0,1982.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,6717800.0,6380375.0,544000.0,27989295.0,0.0,0.0,0.0,462.0,0.0,0.0,0.0,0.0,0.0,,,73500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2437497.0,0.0,0.0,0.0,0.0,33888.0,0.0,0.0,0.0,541810.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230520.0,88549.0,0.0,1081986.0,295037.0,0.0,0.0,1824401.0,0.0,0.0,4454.0,0.0,0.0,0.0,4454.0,3250000.0,0.0,0.0,12187880.0,0.0,0.0,0.0,0.0,13567420.0,0.0,332581.0,0.0,0.0,0.0,1779291.0,0.0,0.0,-939857.0,0.0,0.0,0.0,0.0,10355727.0,0.0,342317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396395.0,0.0,19187315.0,0.0,134927509.0,1355372.0,57359896.0,0.0,0.0,0.0,0.0,76212240.0,1318310.0,2518105.0,2059222.0,0.0,9576043.0,1387738.0,248975.0,237542.0,58756.0,118544.0,87797.0,170588.0,44057.0,0.0,2620.0,95178.0,457676.0,457676.0,466521.0,0.0,0.0,,,81642.0,30599.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560181.0,1
(주)대호에이엘,69460,2013,1,24,32402,  1차 금속 제조업 ,2002-11-11,,5116378.0,720000.0,14258275.0,562371.0,,14470744.0,770091.0,720000.0,9878.0,102510.0,0.0,3057602.0,2109936.0,11607870.0,1541533.0,0.0,997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6717800.0,6388375.0,544000.0,29880693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2598721.0,0.0,0.0,0.0,0.0,24967.0,0.0,0.0,0.0,265720.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88550.0,0.0,2770472.0,263425.0,0.0,0.0,1719091.0,0.0,0.0,68764.0,0.0,0.0,0.0,68764.0,2800000.0,0.0,0.0,3037320.0,0.0,0.0,0.0,0.0,13567420.0,0.0,332581.0,0.0,0.0,0.0,3346567.0,0.0,0.0,-101441.0,4619.0,0.0,0.0,0.0,10355487.0,0.0,342317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1596395.0,0.0,16320473.0,0.0,125380109.0,0.0,60433350.0,0.0,0.0,0.0,0.0,64946759.0,0.0,2059222.0,3057602.0,0.0,9796227.0,1273744.0,148807.0,279314.0,58270.0,121031.0,104564.0,174833.0,42755.0,0.0,5640.0,90909.0,546598.0,546598.0,242999.0,0.0,0.0,0.0,0.0,1364346.0,34691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-453313.0,1
(주)대호에이엘,69460,2014,1,24,32402,  1차 금속 제조업 ,2002-11-11,,20800364.0,153219.0,37211492.0,278824.0,,12162310.0,25420865.0,0.0,2830.0,88602.0,0.0,2403378.0,1899815.0,12126170.0,1191841.0,0.0,1348787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12092040.0,6401875.0,553000.0,30633004.0,0.0,0.0,0.0,24393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2720502.0,0.0,0.0,0.0,0.0,19215.0,0.0,0.0,0.0,265720.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163550.0,0.0,1190866.0,257169.0,0.0,0.0,2150254.0,0.0,0.0,34212.0,0.0,0.0,0.0,34212.0,0.0,0.0,0.0,13859780.0,0.0,0.0,0.0,0.0,13567420.0,0.0,332581.0,0.0,0.0,0.0,0.0,0.0,0.0,-950065.0,-2429.0,0.0,0.0,0.0,15677134.0,0.0,342317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1596395.0,0.0,-8343216.0,0.0,131723452.0,0.0,59941478.0,0.0,0.0,0.0,0.0,71781974.0,0.0,8589010.0,2403378.0,0.0,10784074.0,1498654.0,233624.0,237588.0,46242.0,66164.0,104200.0,96064.0,46864.0,0.0,0.0,75666.0,630347.0,630347.0,66532.0,0.0,0.0,0.0,0.0,743326.0,1312959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642085.0,1
(주)서연,7860,2012,1,71,137105,  전문 서비스업 ,1989-09-09,,40690091.0,21845.0,220983208.0,0.0,,200442478.0,20358194.0,0.0,207270.0,8249422.0,8107675.0,1401400.0,0.0,208456.0,809127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31623066.0,54224514.0,4510638.0,46007552.0,0.0,0.0,772709.0,0.0,2502516.0,0.0,0.0,114444362.0,0.0,,,10562952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835430.0,0.0,0.0,0.0,0.0,3045668.0,0.0,0.0,0.0,0.0,0.0,,2580930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2448973.0,113624660.0,42676026.0,0.0,0.0,5242931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40560763.0,0.0,0.0,0.0,0.0,19707927.0,0.0,11326981.0,0.0,0.0,0.0,6473183.0,0.0,0.0,-11856459.0,34153876.0,0.0,0.0,0.0,34153876.0,0.0,4327000.0,5002745.0,1690000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235800000.0,0.0,60881874.0,0.0,793344233.0,465498136.0,327846097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78296529.0,11100428.0,1282510.0,928775.0,179791.0,965356.0,281146.0,236077.0,155419.0,3001335.0,345022.0,101957.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9037746.0,4688673.0,0.0,0.0,0.0,0.0,0.0,0.0,11449062.0,0
(주)셀트리온,68270,2018,1,21,32101,  의료용 물질 및 의약품 제조업 ,2018-02-09,,399558426.0,120626667.0,813157479.0,0.0,0.0,689472264.0,122854282.0,200000.0,16111772.0,22040356.0,0.0,38730262.0,0.0,8535815.0,71664887.0,8826172.0,0.0,0.0,0.0,0.0,0.0,49686.0,0.0,0.0,5982493.0,265400330.0,205012817.0,6812817.0,48067398.0,0.0,0.0,334563091.0,0.0,360793.0,0.0,0.0,19655892.0,0.0,0.0,0.0,75938749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1127767318.0,0.0,0.0,4580805.0,0.0,0.0,0.0,0.0,7099563.0,0.0,0.0,0.0,0.0,0.0,44588824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9515187.0,0.0,8318784.0,44548304.0,0.0,10846.0,82502883.0,0.0,0.0,69474379.0,0.0,0.0,0.0,69474379.0,0.0,0.0,0.0,68707540.0,0.0,0.0,0.0,0.0,125456133.0,0.0,761047500.0,0.0,0.0,0.0,9059092.0,0.0,0.0,-118907031.0,0.0,0.0,0.0,0.0,5011173.0,0.0,2281397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379081467.0,0.0,0.0,270117927.0,0.0,141850196.0,0.0,861884226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121358953.0,21328129.0,0.0,3493555.0,0.0,920976.0,499842.0,692963.0,572602.0,1506098.0,8832878.0,0.0,112670916.0,9437411.0,0.0,0.0,7278486.0,0.0,77.0,7267366.0,414572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3014260.0,4652.0,0.0,0.0,0.0,0.0,0.0,0.0,57913668.0,1
