,회사명,거래소코드,회계년도,소속코드_df1,통계청 한국표준산업분류 코드 10차(대분류)_df1,산업코드_df1,산업명_df1,상장일_df1,상장폐지일_df1,현금및현금성자산(IFRS),유동금융자산(IFRS),매출채권 및 기타유동채권(IFRS),상각후원가측정 유가증권(IFRS),매출채권(IFRS),미수금(IFRS),단기대여금(IFRS),선급금(IFRS),기타유동자산(IFRS),상품(IFRS),제품(IFRS),원재료(부재료)(IFRS),토지(IFRS),건물 및 부속설비(IFRS),기계장치(IFRS),차량운반구(IFRS),공구,회원권(IFRS),배출권자산(IFRS),매입채무(IFRS),미지급금(IFRS),미지급비용(IFRS),선수금(IFRS),당기법인세부채(미지급법인세)(IFRS),기타유동부채(IFRS),장기차입금(IFRS),보통주자본금(IFRS),주식발행초과금(IFRS),자기주식(IFRS),기타포괄손익누계액(IFRS),이익준비금(IFRS),미처분이익잉여금(결손금)(IFRS),매출액(수익)(IFRS),제품매출액(IFRS),기타수익(IFRS),종업원 급여비용(IFRS),급여(IFRS),퇴직급여(IFRS),복리후생비(IFRS),보험료(IFRS),여비교통비(IFRS),임차료(IFRS),접대비(IFRS),감가상각비(IFRS),광고선전비(IFRS),차량유지비(IFRS),연구개발비(IFRS),대손상각비(IFRS),기타(IFRS),이자수익(IFRS),외환차손(IFRS).1,외화환산손실(IFRS).1,법인세비용(IFRS),총자본증가율(IFRS),유형자산증가율(IFRS),투자부동산증가율(IFRS),비유동자산증가율(IFRS),유동자산증가율(IFRS),재고자산증가율(IFRS),자기자본증가율(IFRS),매출액증가율(IFRS),정상영업이익증가율(IFRS),순이익증가율(IFRS),총포괄이익증가율(IFRS),종업원1인당 부가가치증가율(IFRS),종업원수증가율(IFRS),종업원1인당 매출액증가율(IFRS),종업원1인당 인건비증가율(IFRS),매출액총이익률(IFRS),매출액정상영업이익률(IFRS),매출액순이익률(IFRS),총자본사업이익률(IFRS),총자본정상영업이익률(IFRS),총자본순이익률(IFRS),자기자본정상영업이익률(IFRS),자기자본순이익률(IFRS),경영자본정상영업이익률(IFRS),경영자본순이익률(IFRS),자본금정상영업이익률(IFRS),자본금순이익률(IFRS),매출원가 대 매출액비율(IFRS),영업비용 대 영업수익비율(IFRS),기타손익비률(IFRS),금융손익비율(IFRS),금융비용부담률(IFRS),외환이익 대 매출액비율(IFRS),광고선전비 대 매출액비율(IFRS),세금과공과 대 세금과공과 차감전순이익률(IFRS),기업순이익률(IFRS),수지비율(관계기업투자손익 제외)(IFRS),인건비 대 총비용비율(IFRS),R & D 투자효율(IFRS),세금과공과 대 총비용비율(IFRS),금융비용 대 총비용비율(IFRS),감가상각비 대 총비용비율(IFRS),감가상각률(IFRS),누적감가상각률(IFRS),이자부담률(IFRS),지급이자율(IFRS),차입금평균이자율(IFRS),유보율(IFRS),사내유보율(IFRS),사내유보 대 자기자본비율(IFRS),적립금비율(재정비율)(IFRS),평균배당률(IFRS),자기자본배당률(IFRS),배당성향(IFRS),1주당매출액(IFRS)(원),1주당순이익(IFRS)(원),1주당 CASH FLOW(IFRS)(원),1주당순자산(IFRS)(원),1주당정상영업이익(IFRS)(원),유동자산구성비율(IFRS),재고자산 대 유동자산비율(IFRS),유동자산 대 비유동자산비율(IFRS),당좌자산구성비율(IFRS),비유동자산구성비율(IFRS),자기자본구성비율(IFRS),타인자본구성비율(IFRS),자기자본배율(IFRS),비유동비율(IFRS),비유동장기적합률(IFRS),유동비율(IFRS),당좌비율(IFRS),현금비율(IFRS),매출채권비율(IFRS),재고자산 대 순운전자본비율(IFRS),매출채권 대 매입채무비율(IFRS),"매출채권 대 상,제품비율(IFRS)",매입채무 대 재고자산비율(IFRS),부채비율(IFRS),유동부채비율(IFRS),단기차입금 대 총차입금비율(IFRS),비유동부채비율(IFRS),비유동부채 대 순운전자본비율(IFRS),순운전자본비율(IFRS),차입금의존도(IFRS),차입금비율(IFRS),이자보상배율(이자비용)(IFRS),이자보상배율(순금융비용)(IFRS),유보액대비율(IFRS),유보액 대 납입자본배율(IFRS),유동자산집중도(IFRS),비유동자산집중도(IFRS),투자집중도(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 차입금비율(IFRS),CASH FLOW 대 총자본비율(IFRS),CASH FLOW 대 매출액비율(IFRS),정상영업이익대비이자보상배율(IFRS),총자본회전률(IFRS),경영자본회전률(IFRS),자기자본회전률(IFRS),자본금회전률(IFRS),타인자본회전률(IFRS),매입채무회전률(IFRS),매입채무회전기간(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),재고자산회전률(IFRS),재고자산회전기간(IFRS),"상품,제품회전률(IFRS)","원,부재료회전률(IFRS)",재공품회전률(IFRS),매출채권회전률(IFRS),매출채권회전기간(IFRS),비유동자산회전률(IFRS),유형자산회전율(IFRS),순운전자본회전률(IFRS),운전자본회전률(IFRS),1회전기간(IFRS),부가가치(IFRS)(백만원),종업원1인당 부가가치(IFRS)(백만원),종업원1인당 매출액(IFRS)(백만원),종업원1인당 정상영업이익(IFRS)(백만원),종업원1인당 순이익(IFRS)(백만원),종업원1인당 인건비(IFRS)(백만원),노동장비율(IFRS),기계장비율(IFRS),자본집약도(IFRS),총자본투자효율(IFRS),설비투자효율(IFRS),기계투자효율(IFRS),부가가치율(IFRS),노동소득분배율(IFRS),자본분배율(IFRS),이윤분배율(IFRS),법인세비용차감전(계속사업)손익(IFRS)(백만원),인건비(IFRS)(백만원),금융비용(IFRS)(백만원),임차료(IFRS)(백만원),세금과공과(IFRS)(백만원),감가상각비(IFRS)(백만원),종업원수(IFRS),label_df2
0,(주)다이나믹디자인,145210,2015,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,0,10376890.0,1548731.0,76489422.0,0.0,73146602.0,8908833.0,1389280.0,4681653.0,4562882.0,54117.0,8408258.0,6787084.0,10375813.0,60737230.0,133373946.0,1240297.0,9311662.0,351833.0,0.0,18739238.0,6413629.0,3625207.0,2612589.0,1177187.0,2612589.0,12388238.0,5941320.0,74917120.0,-871067.0,2844519.0,124666.0,82928264.0,227815365.0,192833297.0,3776328.0,46876840.0,9858434.0,732394.0,770720.0,0.0,1124308.0,321202.0,548483.0,606909.0,0.0,631073.0,384223.0,1011029.0,1565029.0,550223.0,2136822.0,2881977.0,184992.0,-4.56,-11.48,-1.61,-7.14,0.15,19.6,14.56,-7.8,-63.29,-91.32,-94.85,-47.41,-23.47,18.01,3.57,16.52,5.31,0.6,3.68,3.52,0.4,7.52,1.03,4.07,0.46,214.57,28.93,83.48,94.69,-4.63,-2.58,1.58,-0.86,0.0,11.94,1.44,98.96,20.05,0.0,0.0,1.54,6.07,9.06,56.94,1.96,3.24,2.86,2754.5,0.0,51.51,95.31,0.0,0.0,0.0,19402.42,141.0,1123.73,14675.49,1030.61,37.06,24.62,58.88,27.94,62.94,51.11,48.89,2839.84,123.15,111.37,85.22,64.24,7.1,219.82,0.0,359.32,802.99,61.18,95.66,85.08,88.44,10.58,0.0,-6.43,38.01,74.38,2.92,1.43,49.6,28.02,54.57,96.31,125.88,10.92,14.04,5.34,7.86,3.37,0.66,0.77,1.41,40.4,1.25,11.12,32.83,1.83,2.37,8.1,45.06,30.26,37.84,16.86,3.4,107.3,1.04,1.35,0.81,2.6,0.01,66194.88,126.46,881.49,94.72,9.04,52.35,491.59,207.99,1884.51,19.72,47.24,98.91,29.06,70.82,29.18,2.06,1548.77,46876.84,3589.4,0.0,0.0,14203.75,150.0,1
1,(주)다이나믹디자인,145210,2016,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,0,15192647.0,19759.0,64094563.0,0.0,0.0,0.0,0.0,0.0,3774958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3479736.0,5471643.0,6666589.0,5941320.0,74939520.0,-998124.0,-1685232.0,0.0,38878340.0,204284452.0,0.0,204284452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26507018.0,0.0,0.0,0.0,7248212.0,-12.91,-11.57,-1.64,-11.1,-15.98,-34.15,-37.3,-10.33,-54.71,0.0,-2511.53,-185.68,-10.67,6.51,0.0,15.66,2.68,-9.12,1.75,1.75,-5.93,3.94,-13.63,1.96,-6.66,92.24,-314.8,84.34,97.32,-8.25,-0.74,0.0,0.0,0.0,0.0,-5.93,105.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1697.35,0.0,0.0,96.91,0.0,0.0,0.0,17191.84,-1588.0,1062.39,9987.4,461.22,35.75,19.3,55.65,28.85,64.25,36.48,63.52,1780.55,176.09,155.85,60.83,49.09,8.84,0.0,0.0,0.0,0.0,0.0,174.09,161.1,93.58,12.99,0.0,-23.02,41.84,114.68,999999999.0,999999999.0,34.79,17.12,56.03,97.69,133.49,6.95,10.55,4.42,6.32,0.0,0.65,0.73,1.47,34.38,1.17,21.8,16.74,1.78,2.29,8.04,45.39,48.72,64.07,26.68,6.07,60.15,1.02,1.37,0.75,0.0,0.01,-11379.61,-108.35,938.87,55.31,-179.54,0.0,633.54,0.0,1807.53,-3.89,-8.14,0.0,-5.57,0.0,0.0,0.0,-11379.61,0.0,0.0,0.0,0.0,0.0,134.0,1
2,(주)다이나믹디자인,145210,2017,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,0,6564156.0,3537843.0,52668392.0,0.0,50969720.0,12717613.0,3034705.0,1746478.0,2319417.0,0.0,5653594.0,5877122.0,9609065.0,68408833.0,129456800.0,1032819.0,9465745.0,277833.0,0.0,19694879.0,8804575.0,4634417.0,2578949.0,5123362.0,2882316.0,7560092.0,14025358.0,66855482.0,-2418790.0,-3657676.0,481149.0,-11106445.0,165349941.0,0.0,3287824.0,39598546.0,7842166.0,488054.0,1080434.0,0.0,714039.0,429687.0,674894.0,473481.0,0.0,600540.0,498155.0,1248094.0,1621830.0,389447.0,2365382.0,2147683.0,-696299.0,-17.07,-12.8,-1.66,-15.39,-20.1,-14.41,-36.34,-19.06,-177.01,0.0,0.0,0.0,292.54,-79.67,0.0,14.38,-2.55,-20.4,-1.43,-1.58,-12.62,-4.83,-39.04,-1.74,-13.9,-42.28,-338.49,85.62,102.55,-18.27,-2.07,2.41,0.64,0.0,0.0,-11.12,118.98,18.34,0.0,0.0,1.85,5.42,8.36,77.24,2.22,3.61,3.59,397.42,0.0,124.64,88.2,0.0,0.0,0.0,5894.79,-1217.0,-0.93,1100.57,-150.47,34.45,20.67,52.55,27.33,65.55,28.16,71.84,480.18,232.81,193.13,52.15,41.37,4.1,253.92,0.0,222.6,827.55,114.07,255.16,234.61,92.14,20.54,0.0,-31.61,50.1,177.94,-0.96,-7.63,23.37,4.04,56.86,104.85,128.53,3.62,5.19,2.6,3.81,-1.06,0.62,0.68,1.89,16.56,0.92,16.79,21.74,1.76,2.2,8.83,41.32,62.43,92.61,44.34,7.54,48.39,0.95,1.26,0.64,0.0,0.01,20831.2,-132.86,190.83,-1.01,-160.1,19.38,149.05,51.56,335.64,8.59,17.23,44.66,12.6,190.09,-90.09,-161.93,-34429.26,39598.55,3990.88,0.0,0.0,11694.91,526.0,1
3,(주)대우건설,47040,2012,1,41,64101,  종합 건설업 ,2001-03-23,0,388440274.0,118527442.0,3472326304.0,0.0,2999336000.0,1095078000.0,169222000.0,580554864.0,899767411.0,1037000.0,0.0,249691098.0,133799000.0,211476000.0,288000514.0,103272000.0,80829000.0,28691000.0,0.0,467642637.0,678469012.0,219930000.0,1175534000.0,59490928.0,1175821195.0,794603000.0,2078113190.0,548200218.0,-101723000.0,-59051742.0,60351000.0,777768000.0,8223432761.0,0.0,105132761.0,802635000.0,137394000.0,16082000.0,42841000.0,4891000.0,8200000.0,28926000.0,0.0,2990000.0,20784000.0,0.0,17223000.0,75946000.0,42720296.0,41596150.0,38000000.0,23052000.0,54918791.0,4.13,-9.82,-1.23,-3.95,8.39,40.49,0.28,17.15,4.17,-0.1,-69.72,-9.01,8.42,7.3,-0.43,9.97,4.2,2.1,4.01,3.58,1.79,10.13,5.28,4.92,2.46,16.63,8.51,90.03,95.8,-1.43,-1.14,1.14,0.05,0.25,38.66,2.76,97.35,9.58,0.21,0.65,1.12,0.61,10.47,103.2,1.5,4.93,5.71,66.27,0.0,24.37,42.75,0.0,0.0,0.0,19785.82,431.0,-2749.63,7972.29,831.73,68.13,21.24,213.73,53.65,31.87,34.6,65.4,161.37,92.13,55.11,161.58,127.26,9.34,187.26,55.74,571.33,12236.84,32.78,189.05,121.87,47.86,67.18,89.52,25.96,27.91,80.69,2.55,3.42,14.55,0.69,78.52,39.0,87.88,-9.69,-22.69,-6.34,-7.6,3.67,0.85,1.17,2.41,3.96,1.32,14.23,25.65,1.27,1.57,6.73,54.2,358.1,9.94,40.42,3.12,116.85,2.56,11.18,0.79,0.0,0.01,1354073.61,242.33,1575.55,70.34,30.7,145.28,31.89,7.74,1802.31,13.73,320.28,2422.6,16.47,59.28,40.72,12.78,227947.72,802635.0,94086.89,124047.0,54145.0,51212.0,5192.0,0
4,(주)대우건설,47040,2013,1,41,64101,  종합 건설업 ,2001-03-23,0,409596263.0,154651779.0,3717071381.0,0.0,3595024000.0,933792000.0,77326000.0,458025795.0,726445528.0,977000.0,0.0,149573000.0,142552000.0,211523000.0,282307000.0,97279000.0,80245000.0,33657000.0,0.0,486496126.0,564337956.0,481142000.0,1265227000.0,66816731.0,1265331426.0,468013893.0,2078113190.0,548200218.0,-101723000.0,-112603077.0,60351000.0,73169000.0,8782195639.0,0.0,98130639.0,913926000.0,150237000.0,21495000.0,45607000.0,5878000.0,7767000.0,30499000.0,0.0,4666000.0,7553000.0,0.0,16120000.0,172225000.0,51927885.0,33361642.0,34514000.0,23702000.0,-121688653.0,2.67,0.05,0.26,0.98,3.46,3.91,-22.58,6.79,0.0,0.0,-4206.63,-80.41,22.92,-16.29,-6.87,3.87,-2.79,-8.18,-2.11,-2.45,-7.19,-8.07,-24.13,-3.31,-9.71,-11.77,-34.54,96.13,102.79,-6.78,-0.98,0.98,-0.19,0.09,0.0,-6.33,109.17,9.15,0.18,0.63,0.86,0.59,12.98,103.05,1.24,3.98,4.15,29.83,0.0,3.68,28.12,0.0,0.0,0.0,21130.21,-1747.0,-1216.14,6110.89,-588.67,68.65,21.34,218.97,54.0,31.35,26.22,73.78,124.93,119.59,59.15,146.07,114.91,8.61,208.26,67.64,634.68,5242.14,32.81,281.46,179.27,53.1,102.19,123.72,21.65,29.74,113.46,-2.04,-8.76,6.69,0.33,77.8,35.96,86.1,-11.03,-27.37,-8.14,-9.38,-2.84,0.88,1.19,2.9,4.23,1.26,18.41,19.83,1.29,1.63,6.04,60.46,217.56,8.09,42.03,3.05,119.69,2.78,12.58,0.78,0.0,0.01,405379.72,47.48,1318.88,-39.66,-116.52,135.3,27.34,6.58,1523.25,4.0,94.39,731.03,4.62,225.45,-125.45,-177.13,-839724.66,913926.0,86015.38,123239.0,62921.0,59003.0,6382.0,0
5,(주)대호에이엘,69460,2012,1,24,32402,  1차 금속 제조업 ,2002-11-11,0,13732280.0,61642.0,26612443.0,0.0,25946305.0,1450124.0,1600.0,385920.0,350982.0,0.0,7753692.0,9162726.0,13136238.0,13579519.0,39017516.0,0.0,0.0,541810.0,0.0,1443239.0,374821.0,2487481.0,4454.0,397288.0,67638.0,14277880.0,13567420.0,332581.0,-2799911.0,12523691.0,342317.0,6195829.0,151031967.0,74206508.0,75729512.0,11556948.0,1938901.0,334296.0,424616.0,98889.0,124924.0,185312.0,233351.0,424731.0,6075.0,195931.0,457676.0,466521.0,0.0,705331.0,81987.0,73266.0,729454.0,7.86,7.09,-0.55,6.95,8.51,13.94,-22.41,-15.79,-64.82,-47.44,-51.49,-28.82,3.53,-24.27,9.91,7.95,2.98,1.56,3.75,3.25,1.7,12.28,6.42,3.47,1.82,33.15,17.32,92.05,97.02,-0.94,-3.18,3.18,2.04,0.0,23.69,5.16,98.02,7.59,0.44,0.0,3.16,3.19,12.03,50.12,4.71,5.54,6.1,156.53,0.0,42.62,27.23,0.0,0.0,0.0,5565.98,91.0,195.74,1637.95,165.74,58.57,51.2,141.37,28.58,41.43,22.26,77.74,235.9,186.15,104.47,97.06,47.37,15.82,57.57,0.0,1720.29,320.21,3.35,349.32,271.14,82.39,78.18,0.0,-1.77,69.22,311.0,0.82,1.64,14.77,1.57,53.58,38.17,88.91,4.31,4.84,3.35,3.19,0.94,1.09,1.17,4.12,11.13,1.48,112.93,3.23,1.87,3.73,3.73,97.84,18.01,18.26,7.12,5.28,69.16,2.62,3.15,0.97,0.0,0.01,24570.4,110.25,766.63,17.71,12.65,54.41,169.93,96.95,718.89,17.09,50.15,104.97,16.27,47.04,52.96,9.56,3079.15,11556.95,4805.33,0.0,0.0,4859.82,176.0,1
6,(주)대호에이엘,69460,2013,1,24,32402,  1차 금속 제조업 ,2002-11-11,0,12673962.0,3760000.0,19282823.0,0.0,18990714.0,720745.0,720000.0,110128.0,102510.0,0.0,8589010.0,7893921.0,13136238.0,13610519.0,40997814.0,0.0,0.0,265720.0,0.0,2062838.0,575811.0,2568883.0,68764.0,266446.0,140394.0,4447320.0,13567420.0,332581.0,-101441.0,12523451.0,342317.0,2291199.0,139063658.0,74885957.0,64177701.0,12448629.0,2273158.0,271719.0,525759.0,120340.0,131613.0,209592.0,256942.0,307062.0,5640.0,208483.0,546598.0,232971.0,0.0,699319.0,1364346.0,45148.0,-313972.0,-11.94,-5.46,-0.57,-8.66,-14.27,-16.26,4.88,-7.92,-66.1,0.0,-224.71,-22.42,-0.57,-6.54,2.88,6.9,1.1,-1.84,1.64,1.13,-1.89,4.65,-7.79,1.19,-2.0,11.24,-18.81,93.1,98.9,-3.16,-2.69,2.69,0.44,0.0,0.0,0.88,102.01,8.55,0.39,0.0,2.57,3.51,12.83,66.92,3.66,5.57,4.96,148.15,0.0,35.67,22.57,0.0,0.0,0.0,5124.91,-98.0,585.74,1675.67,56.19,57.02,50.01,132.69,28.5,42.98,26.51,73.49,247.4,162.13,112.27,92.39,46.18,16.22,49.7,0.0,870.13,208.98,5.71,277.25,232.85,90.92,44.4,0.0,-4.7,63.01,237.72,0.34,0.24,15.87,1.48,56.25,40.99,86.97,11.39,13.29,8.37,7.62,0.41,1.03,1.09,4.24,10.25,1.36,79.33,4.6,1.78,3.6,3.51,103.99,17.02,16.31,6.71,6.5,56.14,2.44,2.89,0.87,0.0,0.01,18661.12,85.54,716.46,2.69,-4.11,55.98,161.32,88.45,635.97,14.74,40.42,89.26,13.42,66.71,33.29,-13.68,-2866.61,12448.63,3747.68,0.0,0.0,5116.96,175.0,1
7,(주)대호에이엘,69460,2014,1,24,32402,  1차 금속 제조업 ,2002-11-11,0,20800364.0,153219.0,37211492.0,0.0,12162310.0,25420865.0,0.0,2830.0,88602.0,0.0,2403378.0,1191841.0,12092040.0,6401875.0,30633004.0,0.0,0.0,265720.0,0.0,1190866.0,257169.0,2150254.0,34212.0,0.0,34212.0,13859780.0,13567420.0,332581.0,-950065.0,15677134.0,342317.0,-8343216.0,131723452.0,59941478.0,71781974.0,10784074.0,1498654.0,233624.0,237588.0,46242.0,66164.0,104200.0,96064.0,46864.0,0.0,75666.0,630347.0,66532.0,0.0,0.0,0.0,0.0,642085.0,-0.9,9.21,0.0,-54.7,100.76,3.56,-44.12,5.06,0.0,0.0,0.0,-72.0,-1.14,6.27,11.36,2.86,-0.81,-10.08,-0.89,-0.97,-11.99,-3.01,-37.23,-1.22,-15.09,-7.91,-97.88,97.14,100.81,-8.78,-1.71,1.71,-0.58,0.0,0.0,-9.95,109.47,7.38,0.48,0.0,1.55,2.56,15.4,90.07,3.01,3.12,3.58,95.46,0.0,-32.63,-10.66,0.0,0.0,0.0,4854.4,-494.0,-50.41,931.8,-39.53,70.11,24.53,234.55,52.91,29.89,23.18,76.82,188.46,128.93,72.4,119.4,90.11,32.12,62.15,150.98,990.09,490.59,6.28,331.34,253.27,81.51,78.07,158.88,11.39,67.95,293.11,-0.46,-4.6,11.74,0.95,43.97,40.14,82.62,5.33,6.03,4.1,3.43,-0.48,1.19,1.5,3.69,9.71,1.75,66.5,5.49,2.27,3.35,7.07,51.66,48.24,96.38,11.1,10.43,35.0,2.49,4.42,1.12,0.0,0.01,4143.63,23.95,761.41,-6.2,-76.76,62.34,179.52,75.31,637.52,3.76,13.34,31.8,3.15,260.26,-160.26,-320.48,-12637.4,10784.07,2258.07,0.0,0.0,3738.89,173.0,1
8,(주)서연,7860,2012,1,71,33003,  전문 서비스업 ,1989-09-09,0,143012676.0,17682535.0,393368661.0,0.0,367088188.0,24028997.0,0.0,14753275.0,8249422.0,11510484.0,26859655.0,63700640.0,73331358.0,182896864.0,271702326.0,17071316.0,265142442.0,4525813.0,0.0,332320003.0,56098857.0,16131266.0,767207.0,13439477.0,4790968.0,107686656.0,19707927.0,11326981.0,-12340839.0,20117722.0,4327000.0,110657877.0,2088646585.0,327846097.0,2088646585.0,246100209.0,40652569.0,2575331.0,7694665.0,665016.0,3839914.0,1798036.0,1571362.0,3760140.0,427692.0,879515.0,0.0,-2081331.0,9849151.0,4513827.0,9037746.0,4688673.0,29674505.0,13.15,9.89,0.0,19.53,7.75,10.73,14.49,52.14,-3.63,-15.48,0.0,10.21,1.55,12.82,7.03,10.61,4.08,2.6,7.07,6.57,4.18,18.43,12.59,7.42,4.72,432.73,243.46,89.39,95.92,-0.07,-0.88,0.33,-0.55,0.02,41.79,4.71,96.13,11.82,0.0,0.44,0.33,3.34,15.67,77.21,0.82,3.66,4.27,2027.77,100.0,17.76,93.08,25.81,1.38,11.89,52990.01,1420.0,1493.9,9099.69,2163.64,51.58,16.37,106.53,43.14,48.42,35.18,64.82,2065.15,137.63,98.71,101.25,84.67,20.37,314.6,1330.87,110.17,963.63,285.55,184.24,144.81,70.4,39.43,2186.27,0.63,26.4,75.05,6.4,13.2,34.65,24.23,32.81,29.34,57.87,7.87,19.32,5.1,3.37,12.4,1.61,1.82,4.51,105.98,2.5,6.2,58.86,3.05,3.64,18.86,19.35,51.56,38.46,490.19,5.79,63.0,3.41,4.54,1.53,0.05,0.04,419552.49,172.36,862.33,11.61,46.52,85.1,148.7,17.61,737.04,30.44,92.51,322.65,20.09,58.66,41.34,12.92,83889.0,246100.21,6877.82,3898.25,9254.49,69532.72,920.0,0
9,(주)셀트리온,68270,2018,1,21,32101,  의료용 물질 및 의약품 제조업 ,2018-02-09,0,410547609.0,120626667.0,931778939.0,0.0,808928371.0,123828751.0,4771616.0,20672768.0,372782.0,28671926.0,42974472.0,77213156.0,291989000.0,307424312.0,143802255.0,506842.0,28734280.0,0.0,0.0,20695167.0,46685821.0,83998215.0,69712165.0,36795049.0,69712165.0,103082540.0,125456133.0,761047500.0,-118907031.0,9970125.0,2281397.0,13708432.0,982074960.0,0.0,0.0,165997870.0,38908997.0,0.0,4360833.0,0.0,2300077.0,1252564.0,1081901.0,1672646.0,12006778.0,0.0,108059663.0,0.0,10256953.0,10796699.0,7376642.0,417839.0,64162718.0,6.35,4.41,0.0,9.45,3.11,-18.33,8.7,3.48,-35.32,-33.26,-33.13,-34.27,24.96,-16.79,5.43,56.1,32.9,24.18,9.83,9.51,6.99,12.91,10.3,9.76,7.17,260.46,198.09,43.9,67.1,-2.19,0.31,0.4,0.13,1.22,22.5,7.1,70.19,23.29,2.18,0.67,0.55,17.52,8.5,21.26,0.44,2.85,2.55,1976.75,100.0,9.67,98.17,1.99,0.1,0.0,7836.82,1971.0,2910.94,13760.71,2578.55,47.51,9.79,90.51,42.86,52.49,74.08,25.92,1981.97,70.85,65.09,245.44,221.41,60.54,495.78,16.52,3902.9,1176.77,12.7,34.98,26.13,80.04,8.85,23.3,28.15,14.75,19.9,21.91,77.38,73.9,20.63,166.91,179.16,343.75,46.86,82.35,12.14,43.31,81.83,0.29,0.3,0.39,7.92,1.1,47.07,7.75,0.6,0.67,5.42,67.34,11.1,13.46,88.9,1.2,304.04,0.56,1.14,0.43,0.0,0.0,604013.85,299.03,485.02,179.75,134.09,68.29,338.73,95.53,1896.81,17.24,75.39,247.2,61.5,27.48,72.52,39.32,301639.08,165997.87,3948.96,2838.2,4763.27,124826.47,1777.0,1
