회사명,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,상장일,상장폐지일,총자본증가율(IFRS),유형자산증가율(IFRS),비유동생물자산증가율(IFRS),투자부동산증가율(IFRS),비유동자산증가율(IFRS),유동자산증가율(IFRS),재고자산증가율(IFRS),자기자본증가율(IFRS),매출액증가율(IFRS),정상영업이익증가율(IFRS),순이익증가율(IFRS),총포괄이익증가율(IFRS),종업원1인당 부가가치증가율(IFRS),종업원수증가율(IFRS),종업원1인당 매출액증가율(IFRS),종업원1인당 인건비증가율(IFRS),매출액총이익률(IFRS),매출액정상영업이익률(IFRS),매출액순이익률(IFRS),총자본사업이익률(IFRS),총자본정상영업이익률(IFRS),총자본순이익률(IFRS),자기자본정상영업이익률(IFRS),자기자본순이익률(IFRS),경영자본정상영업이익률(IFRS),경영자본순이익률(IFRS),자본금정상영업이익률(IFRS),자본금순이익률(IFRS),매출원가 대 매출액비율(IFRS),영업비용 대 영업수익비율(IFRS),기타손익비률(IFRS),금융손익비율(IFRS),금융비용부담률(IFRS),외환이익 대 매출액비율(IFRS),광고선전비 대 매출액비율(IFRS),세금과공과 대 세금과공과 차감전순이익률(IFRS),기업순이익률(IFRS),수지비율(관계기업투자손익 제외)(IFRS),인건비 대 총비용비율(IFRS),R & D 투자효율(IFRS),세금과공과 대 총비용비율(IFRS),금융비용 대 총비용비율(IFRS),감가상각비 대 총비용비율(IFRS),감가상각률(IFRS),누적감가상각률(IFRS),이자부담률(IFRS),지급이자율(IFRS),차입금평균이자율(IFRS),유보율(IFRS),사내유보율(IFRS),사내유보 대 자기자본비율(IFRS),적립금비율(재정비율)(IFRS),평균배당률(IFRS),자기자본배당률(IFRS),배당성향(IFRS),1주당매출액(IFRS)(원),1주당순이익(IFRS)(원),1주당 CASH FLOW(IFRS)(원),1주당순자산(IFRS)(원),1주당정상영업이익(IFRS)(원),유동자산구성비율(IFRS),재고자산 대 유동자산비율(IFRS),유동자산 대 비유동자산비율(IFRS),당좌자산구성비율(IFRS),비유동자산구성비율(IFRS),자기자본구성비율(IFRS),타인자본구성비율(IFRS),자기자본배율(IFRS),비유동비율(IFRS),비유동장기적합률(IFRS),유동비율(IFRS),당좌비율(IFRS),현금비율(IFRS),매출채권비율(IFRS),재고자산 대 순운전자본비율(IFRS),매출채권 대 매입채무비율(IFRS),"매출채권 대 상,제품비율(IFRS)",매입채무 대 재고자산비율(IFRS),부채비율(IFRS),유동부채비율(IFRS),단기차입금 대 총차입금비율(IFRS),비유동부채비율(IFRS),비유동부채 대 순운전자본비율(IFRS),순운전자본비율(IFRS),차입금의존도(IFRS),차입금비율(IFRS),이자보상배율(이자비용)(IFRS),이자보상배율(순금융비용)(IFRS),유보액대비율(IFRS),유보액 대 납입자본배율(IFRS),유동자산집중도(IFRS),비유동자산집중도(IFRS),투자집중도(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 차입금비율(IFRS),CASH FLOW 대 총자본비율(IFRS),CASH FLOW 대 매출액비율(IFRS),정상영업이익대비이자보상배율(IFRS),총자본회전률(IFRS),경영자본회전률(IFRS),자기자본회전률(IFRS),자본금회전률(IFRS),타인자본회전률(IFRS),매입채무회전률(IFRS),매입채무회전기간(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),재고자산회전률(IFRS),재고자산회전기간(IFRS),"상품,제품회전률(IFRS)","원,부재료회전률(IFRS)",재공품회전률(IFRS),매출채권회전률(IFRS),매출채권회전기간(IFRS),비유동자산회전률(IFRS),유형자산회전율(IFRS),순운전자본회전률(IFRS),운전자본회전률(IFRS),1회전기간(IFRS),부가가치(IFRS)(백만원),종업원1인당 부가가치(IFRS)(백만원),종업원1인당 매출액(IFRS)(백만원),종업원1인당 정상영업이익(IFRS)(백만원),종업원1인당 순이익(IFRS)(백만원),종업원1인당 인건비(IFRS)(백만원),노동장비율(IFRS),기계장비율(IFRS),자본집약도(IFRS),총자본투자효율(IFRS),설비투자효율(IFRS),기계투자효율(IFRS),부가가치율(IFRS),노동소득분배율(IFRS),자본분배율(IFRS),이윤분배율(IFRS),부가가치(IFRS)(백만원).1,법인세비용차감전(계속사업)손익(IFRS)(백만원),인건비(IFRS)(백만원),금융비용(IFRS)(백만원),임차료(IFRS)(백만원),세금과공과(IFRS)(백만원),감가상각비(IFRS)(백만원),종업원1인당 부가가치(IFRS)(백만원).1,총자본투자효율(IFRS).1,기계투자효율(IFRS).1,부가가치율(IFRS).1,종업원수(IFRS),label
(주)다이나믹디자인,145210,2015,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,,-4.56,-11.48,0.0,-1.61,-7.14,0.15,19.6,14.56,-7.8,-63.29,-91.32,-94.85,,,,,16.52,5.31,0.6,3.68,3.52,0.4,7.52,1.03,4.07,0.46,214.57,28.93,83.48,94.69,-4.63,-2.58,1.58,-0.86,0.0,11.94,1.44,98.96,20.05,0.0,0.0,1.54,6.07,9.06,56.94,1.96,3.24,2.86,2754.5,,,95.31,,,,19402.42,141.0,1123.73,,1030.61,37.06,24.62,58.88,27.94,62.94,51.11,48.89,2839.84,123.15,111.37,85.22,64.24,7.1,219.82,0.0,359.32,802.99,61.18,95.66,85.08,88.44,10.58,0.0,-6.43,38.01,74.38,2.92,1.43,49.6,28.02,54.57,96.31,125.88,10.92,14.04,5.34,7.86,3.37,0.66,0.77,1.41,40.4,1.25,11.12,32.83,1.83,2.37,8.1,45.06,30.26,37.84,16.86,3.4,107.3,1.04,1.35,0.81,2.6,0.01,66194.88,,,,,,,,,19.72,47.24,98.91,29.06,70.82,29.18,2.06,66194.88,1548.77,46876.84,3589.4,0.0,0.0,14203.75,,19.72,98.91,29.06,,1
(주)다이나믹디자인,145210,2016,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,,-12.91,-11.57,0.0,-1.64,-11.1,-15.98,-34.15,-37.3,-10.33,-54.71,0.0,-2511.53,,,,,15.66,2.68,-9.12,1.75,1.75,-5.93,3.94,-13.63,1.96,-6.66,92.24,-314.8,84.34,97.32,-8.25,-0.74,0.0,0.0,0.0,0.0,-5.93,105.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1697.35,,,96.91,,,,17191.84,-1588.0,1062.39,,461.22,35.75,19.3,55.65,28.85,64.25,36.48,63.52,1780.55,176.09,155.85,60.83,49.09,8.84,0.0,0.0,0.0,0.0,0.0,174.09,161.1,93.58,12.99,0.0,-23.02,41.84,114.68,999999999.0,999999999.0,34.79,17.12,56.03,97.69,133.49,6.95,10.55,4.42,6.32,0.0,0.65,0.73,1.47,34.38,1.17,21.8,16.74,1.78,2.29,8.04,45.39,48.72,64.07,26.68,6.07,60.15,1.02,1.37,0.75,0.0,0.01,-11379.61,,,,,,,,,-3.89,-8.14,0.0,-5.57,0.0,0.0,0.0,-11379.61,-11379.61,0.0,0.0,0.0,0.0,0.0,,-3.89,0.0,-5.57,,1
(주)다이나믹디자인,145210,2017,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,,-17.07,-12.8,0.0,-1.66,-15.39,-20.1,-14.41,-36.34,-19.06,-177.01,0.0,0.0,,,,,14.38,-2.55,-20.4,-1.43,-1.58,-12.62,-4.83,-39.04,-1.74,-13.9,-42.28,-338.49,85.62,102.55,-18.27,-2.07,2.41,0.64,0.0,0.0,-11.12,118.98,18.34,0.0,0.0,1.85,5.42,8.36,77.24,2.22,3.61,3.59,397.42,,,88.2,,,,5894.79,-1217.0,-0.93,,-150.47,34.45,20.67,52.55,27.33,65.55,28.16,71.84,480.18,232.81,193.13,52.15,41.37,4.1,253.92,0.0,222.6,827.55,114.07,255.16,234.61,92.14,20.54,0.0,-31.61,50.1,177.94,-0.96,-7.63,23.37,4.04,56.86,104.85,128.53,3.62,5.19,2.6,3.81,-1.06,0.62,0.68,1.89,16.56,0.92,16.79,21.74,1.76,2.2,8.83,41.32,62.43,92.61,44.34,7.54,48.39,0.95,1.26,0.64,0.0,0.01,20831.2,,,,,,,,,8.59,17.23,44.66,12.6,190.09,-90.09,-161.93,20831.2,-34429.26,39598.55,3990.88,0.0,0.0,11694.91,,8.59,44.66,12.6,,1
(주)대우건설,47040,2012,1,41,64101,  종합 건설업 ,2001-03-23,,4.13,-9.82,0.0,-1.23,-3.95,8.39,40.49,0.28,17.15,4.17,-0.1,-69.72,,,,,9.97,4.2,2.1,4.01,3.58,1.79,10.13,5.28,4.92,2.46,16.63,8.51,90.03,95.8,-1.43,-1.14,1.14,0.05,0.25,38.66,2.76,97.35,9.58,0.21,0.65,1.12,0.61,10.47,103.2,1.5,4.93,5.71,66.27,,,42.75,,,,19785.82,431.0,-2749.63,,831.73,68.13,21.24,213.73,53.65,31.87,34.6,65.4,161.37,92.13,55.11,161.58,127.26,9.34,187.26,55.74,571.33,12236.84,32.78,189.05,121.87,47.86,67.18,89.52,25.96,27.91,80.69,2.55,3.42,14.55,0.69,78.52,39.0,87.88,-9.69,-22.69,-6.34,-7.6,3.67,0.85,1.17,2.41,3.96,1.32,14.23,25.65,1.27,1.57,6.73,54.2,358.1,9.94,40.42,3.12,116.85,2.56,11.18,0.79,0.0,0.01,1354073.61,,,,,,,,,13.73,320.28,2422.6,16.47,59.28,40.72,12.78,1354073.61,227947.72,802635.0,94086.89,124047.0,54145.0,51212.0,,13.73,2422.6,16.47,,0
(주)대우건설,47040,2013,1,41,64101,  종합 건설업 ,2001-03-23,,2.67,0.05,0.0,0.26,0.98,3.46,3.91,-22.58,6.79,0.0,0.0,-4206.63,,,,,3.87,-2.79,-8.18,-2.11,-2.45,-7.19,-8.07,-24.13,-3.31,-9.71,-11.77,-34.54,96.13,102.79,-6.78,-0.98,0.98,-0.19,0.09,0.0,-6.33,109.17,9.15,0.18,0.63,0.86,0.59,12.98,103.05,1.24,3.98,4.15,29.83,,,28.12,,,,21130.21,-1747.0,-1216.14,,-588.67,68.65,21.34,218.97,54.0,31.35,26.22,73.78,124.93,119.59,59.15,146.07,114.91,8.61,208.26,67.64,634.68,5242.14,32.81,281.46,179.27,53.1,102.19,123.72,21.65,29.74,113.46,-2.04,-8.76,6.69,0.33,77.8,35.96,86.1,-11.03,-27.37,-8.14,-9.38,-2.84,0.88,1.19,2.9,4.23,1.26,18.41,19.83,1.29,1.63,6.04,60.46,217.56,8.09,42.03,3.05,119.69,2.78,12.58,0.78,0.0,0.01,405379.72,,,,,,,,,4.0,94.39,731.03,4.62,225.45,-125.45,-177.13,405379.72,-839724.66,913926.0,86015.38,123239.0,62921.0,59003.0,,4.0,731.03,4.62,,0
(주)대호에이엘,69460,2012,1,24,32402,  1차 금속 제조업 ,2002-11-11,,7.86,7.09,0.0,-0.55,6.95,8.51,13.94,-22.41,-15.79,-64.82,-47.44,-51.49,,,,,7.95,2.98,1.56,3.75,3.25,1.7,12.28,6.42,3.47,1.82,33.15,17.32,92.05,97.02,-0.94,-3.18,3.18,2.04,0.0,23.69,5.16,98.02,7.59,0.44,0.0,3.16,3.19,12.03,50.12,4.71,5.54,6.1,156.53,,,27.23,,,,5565.98,91.0,195.74,,165.74,58.57,51.2,141.37,28.58,41.43,22.26,77.74,235.9,186.15,104.47,97.06,47.37,15.82,57.57,0.0,1720.29,320.21,3.35,349.32,271.14,82.39,78.18,0.0,-1.77,69.22,311.0,0.82,1.64,14.77,1.57,53.58,38.17,88.91,4.31,4.84,3.35,3.19,0.94,1.09,1.17,4.12,11.13,1.48,112.93,3.23,1.87,3.73,3.73,97.84,18.01,18.26,7.12,5.28,69.16,2.62,3.15,0.97,0.0,0.01,24570.4,,,,,,,,,17.09,50.15,104.97,16.27,47.04,52.96,9.56,24570.4,3079.15,11556.95,4805.33,0.0,0.0,4859.82,,17.09,104.97,16.27,,1
(주)대호에이엘,69460,2013,1,24,32402,  1차 금속 제조업 ,2002-11-11,,-11.94,-5.46,0.0,-0.57,-8.66,-14.27,-16.26,4.88,-7.92,-66.1,0.0,-224.71,,,,,6.9,1.1,-1.84,1.64,1.13,-1.89,4.65,-7.79,1.19,-2.0,11.24,-18.81,93.1,98.9,-3.16,-2.69,2.69,0.44,0.0,0.0,0.88,102.01,8.55,0.39,0.0,2.57,3.51,12.83,66.92,3.66,5.57,4.96,148.15,,,22.57,,,,5124.91,-98.0,585.74,,56.19,57.02,50.01,132.69,28.5,42.98,26.51,73.49,247.4,162.13,112.27,92.39,46.18,16.22,49.7,0.0,870.13,208.98,5.71,277.25,232.85,90.92,44.4,0.0,-4.7,63.01,237.72,0.34,0.24,15.87,1.48,56.25,40.99,86.97,11.39,13.29,8.37,7.62,0.41,1.03,1.09,4.24,10.25,1.36,79.33,4.6,1.78,3.6,3.51,103.99,17.02,16.31,6.71,6.5,56.14,2.44,2.89,0.87,0.0,0.01,18661.12,,,,,,,,,14.74,40.42,89.26,13.42,66.71,33.29,-13.68,18661.12,-2866.61,12448.63,3747.68,0.0,0.0,5116.96,,14.74,89.26,13.42,,1
(주)서연,7860,2012,1,71,33003,  전문 서비스업 ,1989-09-09,,13.15,9.89,0.0,0.0,19.53,7.75,10.73,14.49,52.14,-3.63,-15.48,0.0,,,,,10.61,4.08,2.6,7.07,6.57,4.18,18.43,12.59,7.42,4.72,432.73,243.46,89.39,95.92,-0.07,-0.88,0.33,-0.55,0.02,41.79,4.71,96.13,11.82,0.0,0.44,0.33,3.34,15.67,77.21,0.82,3.66,4.27,2027.77,,,93.08,,,,52990.01,1420.0,1493.9,,2163.64,51.58,16.37,106.53,43.14,48.42,35.18,64.82,2065.15,137.63,98.71,101.25,84.67,20.37,314.6,1330.87,110.17,963.63,285.55,184.24,144.81,70.4,39.43,2186.27,0.63,26.4,75.05,6.4,13.2,34.65,24.23,32.81,29.34,57.87,7.87,19.32,5.1,3.37,12.4,1.61,1.82,4.51,105.98,2.5,6.2,58.86,3.05,3.64,18.86,19.35,51.56,38.46,490.19,5.79,63.0,3.41,4.54,1.53,0.05,0.04,419552.49,,,,,,,,,30.44,92.51,322.65,20.09,58.66,41.34,12.92,419552.49,83889.0,246100.21,6877.82,3898.25,9254.49,69532.72,,30.44,322.65,20.09,,0
(주)셀트리온,68270,2018,1,21,32101,  의료용 물질 및 의약품 제조업 ,2018-02-09,,6.35,4.41,0.0,0.0,9.45,3.11,-18.33,8.7,3.48,-35.32,-33.26,-33.13,,,,,56.1,32.9,24.18,9.83,9.51,6.99,12.91,10.3,9.76,7.17,260.46,198.09,43.9,67.1,-2.19,0.31,0.4,0.13,1.22,22.5,7.1,70.19,23.29,2.18,0.67,0.55,17.52,8.5,21.26,0.44,2.85,2.55,1976.75,,,98.17,,,,7836.82,1971.0,2910.94,,2578.55,47.51,9.79,90.51,42.86,52.49,74.08,25.92,1981.97,70.85,65.09,245.44,221.41,60.54,495.78,16.52,3902.9,1176.77,12.7,34.98,26.13,80.04,8.85,23.3,28.15,14.75,19.9,21.91,77.38,73.9,20.63,166.91,179.16,343.75,46.86,82.35,12.14,43.31,81.83,0.29,0.3,0.39,7.92,1.1,47.07,7.75,0.6,0.67,5.42,67.34,11.1,13.46,88.9,1.2,304.04,0.56,1.14,0.43,0.0,0.0,604013.85,,,,,,,,,17.24,75.39,247.2,61.5,27.48,72.52,39.32,604013.85,301639.08,165997.87,3948.96,2838.2,4763.27,124826.47,,17.24,247.2,61.5,,1
(주)셀트리온,68270,2019,1,21,32101,  의료용 물질 및 의약품 제조업 ,2018-02-09,,10.18,4.78,0.0,0.0,12.82,7.26,88.26,11.0,14.91,18.07,22.49,18.71,,,,,56.14,33.81,26.71,10.69,10.36,8.19,13.95,11.48,10.76,8.5,300.66,237.22,43.86,66.19,0.04,0.3,-0.11,0.04,0.71,22.23,8.15,67.18,26.7,2.21,0.71,-0.16,19.61,9.45,21.26,-0.13,2.19,2.14,2188.63,,,100.18,,,,8801.46,2369.0,3696.93,,2975.78,46.25,17.18,86.05,38.3,53.75,74.43,25.57,2150.66,72.21,64.78,271.61,224.95,83.1,265.52,27.19,1907.2,451.57,13.92,34.35,22.88,71.12,11.47,29.21,29.22,12.83,17.24,35.24,999999999.0,75.7,22.77,152.84,173.39,329.45,42.5,84.66,10.87,37.16,0.0,0.31,0.32,0.41,8.89,1.19,35.6,10.25,0.65,0.76,4.81,75.95,9.06,12.49,108.4,1.39,262.33,0.58,1.25,0.47,0.0,0.0,750558.65,,,,,,,,,19.45,86.22,259.78,66.51,27.89,72.11,40.16,750558.65,382031.28,209351.25,-1228.84,1101.15,5584.2,153719.62,,19.45,259.78,66.51,,1
