회사명,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,상장일,상장폐지일,부가가치(IFRS)(백만원),법인세비용차감전(계속사업)손익(IFRS)(백만원),인건비(IFRS)(백만원),금융비용(IFRS)(백만원),임차료(IFRS)(백만원),세금과공과(IFRS)(백만원),감가상각비(IFRS)(백만원),종업원수(IFRS)
(주)다이나믹디자인,145210,2015,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,,66194.88,1548.77,46876.84,3589.4,0.0,0.0,14203.75,150.0
(주)다이나믹디자인,145210,2016,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,,-11379.61,-11379.61,0.0,0.0,0.0,0.0,0.0,134.0
(주)다이나믹디자인,145210,2017,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,,20831.2,-34429.26,39598.55,3990.88,0.0,0.0,11694.91,526.0
(주)대우건설,47040,2012,1,41,64101,  종합 건설업 ,2001-03-23,,1354073.61,227947.72,802635.0,94086.89,124047.0,54145.0,51212.0,5192.0
(주)대우건설,47040,2013,1,41,64101,  종합 건설업 ,2001-03-23,,405379.72,-839724.66,913926.0,86015.38,123239.0,62921.0,59003.0,6382.0
(주)대호에이엘,69460,2012,1,24,32402,  1차 금속 제조업 ,2002-11-11,,24570.4,3079.15,11556.95,4805.33,0.0,0.0,4859.82,176.0
(주)대호에이엘,69460,2013,1,24,32402,  1차 금속 제조업 ,2002-11-11,,18661.12,-2866.61,12448.63,3747.68,0.0,0.0,5116.96,175.0
(주)서연,7860,2012,1,71,33003,  전문 서비스업 ,1989-09-09,,419552.49,83889.0,246100.21,6877.82,3898.25,9254.49,69532.72,920.0
(주)셀트리온,68270,2018,1,21,32101,  의료용 물질 및 의약품 제조업 ,2018-02-09,,604013.85,301639.08,165997.87,3948.96,2838.2,4763.27,124826.47,1777.0
(주)셀트리온,68270,2019,1,21,32101,  의료용 물질 및 의약품 제조업 ,2018-02-09,,750558.65,382031.28,209351.25,-1228.84,1101.15,5584.2,153719.62,2111.0
(주)셀트리온,68270,2020,1,21,32101,  의료용 물질 및 의약품 제조업 ,2018-02-09,,1081530.12,657152.02,243184.58,1537.81,0.0,5846.31,173849.8,2158.0
(주)신흥,4080,2014,1,46,74605,  도매 및 상품 중개업 ,1991-02-08,,30145.31,8408.05,17805.21,846.54,0.0,0.0,3085.52,325.0
