회사명,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,상장일,상장폐지일,현금및현금성자산(IFRS),유동금융자산(IFRS),매출채권 및 기타유동채권(IFRS),이연법인세자산(IFRS),상각후원가측정 유가증권(IFRS),매출채권(IFRS),미수금(IFRS),단기대여금(IFRS),선급금(IFRS),기타유동자산(IFRS),상품(IFRS),제품(IFRS),반제품(IFRS),재공품(IFRS),원재료(부재료)(IFRS),저장품(소모품)(IFRS),미착품(IFRS),완성건물(IFRS),용지(IFRS),미완성공사(IFRS),미완성건물(IFRS),기타재고자산(IFRS),장기대여금(IFRS),장기당기손익인식금융자산(IFRS),투자부동산(IFRS),토지(IFRS),건물 및 부속설비(IFRS),구축물(IFRS),기계장치(IFRS),중장비(IFRS),시설장치(IFRS),제설비(IFRS),미착자산(IFRS),차량운반구(IFRS),선박(IFRS),항공기(IFRS),공구,임대(주택)자산(IFRS),임차개량자산(IFRS),건설중인자산(IFRS),기타유형자산(IFRS),영업권(IFRS),개발비(IFRS),특허권(IFRS),기타산업재산권(IFRS),컴퓨터소프트웨어(IFRS),브랜드(IFRS),라이선스와 프랜차이즈(IFRS),저작권(IFRS),회원권(IFRS),제이용권(사용권)(IFRS),개발중인 무형자산(IFRS),무형탐사평가자산(IFRS),배출권자산(IFRS),기타무형자산(IFRS),장기매출채권(IFRS),장기공사미수금(IFRS),장기미수금(IFRS),장기미청구공사(IFRS),장기대출채권(IFRS),장기미수수익(IFRS),장기보증금(IFRS),기타장기채권(IFRS),매입채무(IFRS),미지급금(IFRS),보증금(IFRS),미지급배당금(IFRS),미지급비용(IFRS),단기차입금(IFRS),단기매입채무 및 기타유동채무(IFRS),선수금(IFRS),당기법인세부채(미지급법인세)(IFRS),이연법인세부채(IFRS),기타유동부채(IFRS),사채(IFRS),전환사채(IFRS),신주인수권부사채(IFRS),장기차입금(IFRS),장기매입채무(IFRS),기타장기충당부채(IFRS),장기공사선수금(IFRS),기타비유동부채(IFRS),보통주자본금(IFRS),우선주자본금(IFRS),주식발행초과금(IFRS),감자차익(IFRS),합병차익(IFRS),재평가적립금(2001년 이전)(IFRS),기타자본잉여금(IFRS),주식할인발행차금(IFRS),자기주식(IFRS),매도가능금융자산평가손익(IFRS),환산 관련 외환차이 적립금(환율변동차이)(IFRS),기타포괄손익누계액(IFRS),주식매입선택권(IFRS),이익준비금(IFRS),기업합리화적립금(IFRS),재무구조개선적립금(IFRS),기업발전적립금(IFRS),기타법정적립금(IFRS),재평가손익(IFRS),보험수리적손익(IFRS),기술개발준비금(IFRS),연구및인력개발준비금(IFRS),사업손실준비금(IFRS),기타임의적립금(IFRS),기타이익잉여금(IFRS),미처분이익잉여금(결손금)(IFRS),*전기이월미처분이익잉여금(결손금)(IFRS),매출액(수익)(IFRS),상품매출액(IFRS),제품매출액(IFRS),건설계약으로 인한 수익(공사수익)(IFRS),임대수익(IFRS),분양수익(IFRS),수수료수익(IFRS),기타수익(IFRS),당기상품매입액(IFRS),기초제품재고액(IFRS),(기말제품재고액)(IFRS),종업원 급여비용(IFRS),급여(IFRS),퇴직급여(IFRS),복리후생비(IFRS),보험료(IFRS),여비교통비(IFRS),임차료(IFRS),접대비(IFRS),감가상각비(IFRS),세금과공과(IFRS),광고선전비(IFRS),차량유지비(IFRS),연구개발비(IFRS),경상연구개발비(IFRS),대손상각비(IFRS),기타(IFRS),이자수익(IFRS),배당금수익(IFRS),외환차손(IFRS),외화환산손실(IFRS),지분법이익(IFRS),사채상환이익(IFRS),대손충당금환입액(IFRS),전기오류수정이익(IFRS),채무면제이익(IFRS),보험차익(IFRS),이자비용(IFRS),기타대손상각비(IFRS),외환차손(IFRS).1,외화환산손실(IFRS).1,보상비(IFRS),법인세비용(IFRS),label
(주)다이나믹디자인,145210,2015,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,,10376890.0,1548731.0,76489422.0,901627.0,,73146602.0,8908833.0,1389280.0,4681653.0,4562882.0,54117.0,8408258.0,0.0,15629881.0,6787084.0,498721.0,59389.0,0.0,0.0,0.0,0.0,0.0,6688262.0,0.0,1459203.0,10375813.0,60737230.0,2192072.0,133373946.0,0.0,381137.0,0.0,0.0,1240297.0,0.0,0.0,9311662.0,0.0,0.0,17905551.0,1750411.0,14273726.0,0.0,0.0,22647.0,2920075.0,0.0,0.0,0.0,351833.0,0.0,0.0,0.0,,0.0,0.0,0.0,2195004.0,0.0,0.0,0.0,0.0,0.0,18739238.0,6413629.0,0.0,0.0,3625207.0,0.0,0.0,2612589.0,1177187.0,2264339.0,2612589.0,0.0,0.0,0.0,12388238.0,0.0,0.0,0.0,0.0,5941320.0,0.0,74917120.0,0.0,0.0,0.0,2821844.0,0.0,-871067.0,2687773.0,0.0,2844519.0,0.0,124666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82928264.0,0.0,227815365.0,211906.0,192833297.0,0.0,0.0,0.0,0.0,3776328.0,0.0,0.0,0.0,46876840.0,9858434.0,732394.0,770720.0,0.0,1124308.0,321202.0,548483.0,606909.0,0.0,0.0,631073.0,384223.0,0.0,1011029.0,1565029.0,550223.0,0.0,0.0,0.0,402273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2136822.0,2881977.0,0.0,184992.0,1.0
(주)다이나믹디자인,145210,2016,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,,15192647.0,19759.0,64094563.0,4326113.0,0.0,0.0,0.0,0.0,0.0,3774958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20171907.0,0.0,0.0,1435326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139733243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14583758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12682497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3479736.0,481856.0,5471643.0,0.0,0.0,0.0,6666589.0,0.0,5002110.0,0.0,0.0,5941320.0,0.0,74939520.0,0.0,0.0,0.0,3167578.0,0.0,-998124.0,0.0,0.0,-1685232.0,11533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24411431.0,38878340.0,0.0,204284452.0,0.0,0.0,0.0,0.0,0.0,0.0,204284452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26507018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7248212.0,1.0
(주)다이나믹디자인,145210,2017,1,29,32902,  기타 기계 및 장비 제조업 ,2015-03-19,,6564156.0,3537843.0,52668392.0,5020679.0,0.0,50969720.0,12717613.0,3034705.0,1746478.0,2319417.0,0.0,5653594.0,0.0,7781642.0,5877122.0,907128.0,33747.0,0.0,0.0,0.0,0.0,0.0,2424023.0,0.0,1411448.0,9609065.0,68408833.0,2094418.0,129456800.0,0.0,381137.0,0.0,0.0,1032819.0,0.0,0.0,9465745.0,0.0,0.0,3067100.0,1504440.0,2298809.0,0.0,0.0,32870.0,2225288.0,0.0,0.0,0.0,277833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7089410.0,0.0,0.0,0.0,0.0,0.0,19694879.0,8804575.0,0.0,366446.0,4634417.0,0.0,0.0,2578949.0,5123362.0,1048695.0,2882316.0,0.0,0.0,0.0,7560092.0,0.0,2216369.0,0.0,0.0,14025358.0,0.0,66855482.0,0.0,0.0,0.0,3150047.0,0.0,-2418790.0,0.0,-2656128.0,-3657676.0,0.0,481149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11106445.0,0.0,165349941.0,0.0,0.0,0.0,0.0,0.0,0.0,3287824.0,0.0,0.0,0.0,39598546.0,7842166.0,488054.0,1080434.0,0.0,714039.0,429687.0,674894.0,473481.0,0.0,0.0,600540.0,498155.0,0.0,1248094.0,1621830.0,389447.0,0.0,0.0,0.0,275332.0,0.0,0.0,0.0,0.0,0.0,0.0,9208734.0,2365382.0,2147683.0,0.0,-696299.0,1.0
(주)대우건설,47040,2012,1,41,64101,  종합 건설업 ,2001-03-23,,388440274.0,118527442.0,3472326304.0,543341270.0,,2999336000.0,1095078000.0,169222000.0,580554864.0,899767411.0,1037000.0,0.0,0.0,0.0,249691098.0,5309000.0,156070000.0,20861000.0,710380000.0,284796000.0,0.0,0.0,513041000.0,0.0,189874297.0,133799000.0,211476000.0,8968000.0,288000514.0,0.0,0.0,0.0,0.0,103272000.0,64200000.0,0.0,80829000.0,,,275051000.0,0.0,542000.0,0.0,0.0,0.0,37078000.0,0.0,0.0,0.0,28691000.0,0.0,0.0,0.0,,129446433.0,0.0,0.0,271281000.0,0.0,0.0,78000.0,117715000.0,0.0,467642637.0,678469012.0,45590872.0,0.0,219930000.0,0.0,0.0,1175534000.0,59490928.0,16257816.0,1175821195.0,650000000.0,0.0,0.0,794603000.0,0.0,144369996.0,246657000.0,0.0,2078113190.0,0.0,548200218.0,0.0,0.0,0.0,0.0,0.0,-101723000.0,19880000.0,0.0,-59051742.0,0.0,60351000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47300024.0,0.0,777768000.0,0.0,8223432761.0,0.0,0.0,7792848000.0,0.0,325452000.0,0.0,105132761.0,0.0,0.0,0.0,802635000.0,137394000.0,16082000.0,42841000.0,4891000.0,8200000.0,28926000.0,0.0,2990000.0,54145000.0,20784000.0,0.0,17223000.0,17223000.0,75946000.0,42720296.0,41596150.0,,37990000.0,20680000.0,0.0,,0.0,0.0,0.0,0.0,,168242000.0,38000000.0,23052000.0,0.0,54918791.0,0.0
(주)대우건설,47040,2013,1,41,64101,  종합 건설업 ,2001-03-23,,409596263.0,154651779.0,3717071381.0,736103747.0,,3595024000.0,933792000.0,77326000.0,458025795.0,726445528.0,977000.0,0.0,0.0,0.0,149573000.0,6506000.0,72484000.0,57987000.0,1060753000.0,134375000.0,0.0,0.0,465667000.0,0.0,190372850.0,142552000.0,211523000.0,9000000.0,282307000.0,0.0,0.0,0.0,0.0,97279000.0,76282000.0,0.0,80245000.0,0.0,0.0,268652000.0,0.0,542000.0,0.0,0.0,0.0,40857000.0,0.0,0.0,0.0,33657000.0,0.0,0.0,0.0,,126558000.0,0.0,0.0,340674000.0,0.0,0.0,386000.0,185434000.0,0.0,486496126.0,564337956.0,62552507.0,0.0,481142000.0,0.0,0.0,1265227000.0,66816731.0,16266690.0,1265331426.0,950000000.0,0.0,0.0,468013893.0,0.0,537422168.0,462892000.0,0.0,2078113190.0,0.0,548200218.0,0.0,0.0,0.0,0.0,0.0,-101723000.0,19692000.0,0.0,-112603077.0,0.0,60351000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48299713.0,0.0,73169000.0,0.0,8782195639.0,0.0,0.0,7596391000.0,0.0,1087674000.0,0.0,98130639.0,0.0,0.0,0.0,913926000.0,150237000.0,21495000.0,45607000.0,5878000.0,7767000.0,30499000.0,0.0,4666000.0,62921000.0,7553000.0,0.0,16120000.0,16120000.0,172225000.0,51927885.0,33361642.0,7870000.0,34513000.0,22964000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111607000.0,34514000.0,23702000.0,0.0,-121688653.0,0.0
(주)대호에이엘,69460,2012,1,24,32402,  1차 금속 제조업 ,2002-11-11,,13732280.0,61642.0,26612443.0,484686.0,,25946305.0,1450124.0,1600.0,385920.0,350982.0,0.0,7753692.0,2264306.0,23941796.0,9162726.0,0.0,1982.0,0.0,0.0,0.0,0.0,0.0,4082339.0,0.0,2664848.0,13136238.0,13579519.0,1785726.0,39017516.0,0.0,0.0,0.0,462.0,0.0,0.0,0.0,0.0,,,537863.0,2821821.0,0.0,0.0,0.0,0.0,46665.0,0.0,0.0,0.0,541810.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,230520.0,88550.0,0.0,1443239.0,374821.0,0.0,0.0,2487481.0,0.0,0.0,4454.0,397288.0,2646410.0,67638.0,3250000.0,0.0,0.0,14277880.0,0.0,0.0,0.0,0.0,13567420.0,0.0,332581.0,0.0,0.0,0.0,1779291.0,0.0,-2799911.0,0.0,0.0,12523691.0,0.0,342317.0,0.0,396395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396395.0,0.0,6195829.0,0.0,151031967.0,1095946.0,74206508.0,0.0,0.0,0.0,0.0,75729512.0,2582288.0,2543284.0,7753692.0,11556948.0,1938901.0,334296.0,424616.0,98889.0,124924.0,185312.0,233351.0,424731.0,0.0,6075.0,195931.0,457676.0,666265.0,466521.0,0.0,705331.0,,81642.0,30599.0,0.0,,0.0,0.0,0.0,0.0,,0.0,81987.0,73266.0,0.0,729454.0,1.0
(주)대호에이엘,69460,2013,1,24,32402,  1차 금속 제조업 ,2002-11-11,,12673962.0,3760000.0,19282823.0,562371.0,,18990714.0,720745.0,720000.0,110128.0,102510.0,0.0,8589010.0,2101830.0,17528110.0,7893921.0,0.0,997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2649596.0,13136238.0,13610519.0,1785726.0,40997814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664363.0,3006827.0,0.0,0.0,0.0,0.0,43296.0,0.0,0.0,0.0,265720.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88550.0,2101494.0,2062838.0,575811.0,0.0,0.0,2568883.0,0.0,0.0,68764.0,266446.0,2395939.0,140394.0,2800000.0,0.0,0.0,4447320.0,0.0,0.0,0.0,133000.0,13567420.0,0.0,332581.0,0.0,0.0,0.0,3346567.0,0.0,-101441.0,4619.0,0.0,12523451.0,0.0,342317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1596395.0,0.0,2291199.0,0.0,139063658.0,0.0,74885957.0,0.0,0.0,0.0,0.0,64177701.0,0.0,7753692.0,8589010.0,12448629.0,2273158.0,271719.0,525759.0,120340.0,131613.0,209592.0,256942.0,307062.0,0.0,5640.0,208483.0,546598.0,546598.0,232971.0,0.0,699319.0,0.0,1364346.0,34691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1364346.0,45148.0,0.0,-313972.0,1.0
(주)대호에이엘,69460,2014,1,24,32402,  1차 금속 제조업 ,2002-11-11,,20800364.0,153219.0,37211492.0,278824.0,,12162310.0,25420865.0,0.0,2830.0,88602.0,0.0,2403378.0,1899815.0,12126170.0,1191841.0,0.0,1348787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12092040.0,6401875.0,553000.0,30633004.0,0.0,0.0,0.0,24393.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,2720502.0,0.0,0.0,0.0,0.0,19215.0,0.0,0.0,0.0,265720.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163550.0,0.0,1190866.0,257169.0,0.0,0.0,2150254.0,0.0,0.0,34212.0,,0.0,34212.0,0.0,0.0,0.0,13859780.0,0.0,0.0,0.0,0.0,13567420.0,0.0,332581.0,0.0,0.0,0.0,0.0,0.0,-950065.0,-2429.0,0.0,15677134.0,0.0,342317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1596395.0,0.0,-8343216.0,0.0,131723452.0,0.0,59941478.0,0.0,0.0,0.0,0.0,71781974.0,0.0,8589010.0,2403378.0,10784074.0,1498654.0,233624.0,237588.0,46242.0,66164.0,104200.0,96064.0,46864.0,0.0,0.0,75666.0,630347.0,630347.0,66532.0,0.0,0.0,0.0,743326.0,1312959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642085.0,1.0
(주)서연,7860,2012,1,71,33003,  전문 서비스업 ,1989-09-09,,143012676.0,17682535.0,393368661.0,4760822.0,,367088188.0,24028997.0,0.0,14753275.0,8249422.0,11510484.0,26859655.0,0.0,4186525.0,63700640.0,4459253.0,8657724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73331358.0,182896864.0,8360810.0,271702326.0,0.0,0.0,4174474.0,0.0,17071316.0,0.0,0.0,265142442.0,,,27728147.0,0.0,10325985.0,41438348.0,0.0,5861546.0,0.0,0.0,0.0,0.0,4525813.0,0.0,0.0,0.0,,14533648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5583452.0,332320003.0,56098857.0,0.0,0.0,16131266.0,0.0,0.0,767207.0,13439477.0,33803569.0,4790968.0,0.0,0.0,0.0,107686656.0,0.0,1473148.0,0.0,0.0,19707927.0,0.0,11326981.0,0.0,0.0,0.0,3676330.0,0.0,-12340839.0,34981609.0,0.0,20117722.0,0.0,4327000.0,5002745.0,1690000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235800000.0,0.0,110657877.0,0.0,2088646585.0,465498136.0,327846097.0,0.0,0.0,0.0,0.0,2088646585.0,0.0,0.0,0.0,246100209.0,40652569.0,2575331.0,7694665.0,665016.0,3839914.0,1798036.0,1571362.0,3760140.0,9254485.0,427692.0,879515.0,0.0,0.0,-2081331.0,9849151.0,4513827.0,1936205.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,9037746.0,4688673.0,0.0,29674505.0,0.0
(주)셀트리온,68270,2018,1,21,32101,  의료용 물질 및 의약품 제조업 ,2018-02-09,,410547609.0,120626667.0,931778939.0,0.0,0.0,808928371.0,123828751.0,4771616.0,20672768.0,372782.0,28671926.0,42974472.0,0.0,11702779.0,77213156.0,9352871.0,0.0,0.0,0.0,0.0,0.0,126268.0,405142.0,0.0,5982493.0,291989000.0,307424312.0,16476052.0,143802255.0,0.0,0.0,334696893.0,0.0,506842.0,0.0,0.0,28734280.0,0.0,0.0,80199502.0,0.0,3025845.0,1133371864.0,0.0,0.0,8047354.0,0.0,0.0,0.0,0.0,8016765.0,0.0,0.0,0.0,54251719.0,70261.0,0.0,0.0,0.0,0.0,0.0,10809113.0,0.0,20695167.0,46685821.0,0.0,10846.0,83998215.0,0.0,0.0,69712165.0,36795049.0,36215381.0,69712165.0,0.0,0.0,0.0,103082540.0,0.0,0.0,0.0,0.0,125456133.0,0.0,761047500.0,0.0,0.0,0.0,14683489.0,0.0,-118907031.0,0.0,4857447.0,9970125.0,29064413.0,2281397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379081467.0,0.0,270117927.0,0.0,13708432.0,0.0,982074960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165997870.0,38908997.0,0.0,4360833.0,0.0,2300077.0,1252564.0,1081901.0,1672646.0,4763267.0,12006778.0,0.0,108059663.0,21390333.0,0.0,10256953.0,10796699.0,77.0,7267366.0,414572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7376642.0,417839.0,0.0,64162718.0,1.0
