기업명,거래소코드,기업유형,회계년도,이익 과대계상 (비용 과소계상)
(주)효성,4800,코스피,2013,1
(주)효성,4800,코스피,2014,1
(주)효성,4800,코스피,2015,1
(주)서연,7860,코스피,2012,0
한솔홀딩스(주),4150,코스피,2012,1
한솔홀딩스(주),4150,코스피,2013,1
현대건설(주),720,코스피,2013,1
현대건설(주),720,코스피,2014,1
현대건설(주),720,코스피,2015,1
현대건설(주),720,코스피,2016,1
(주)서희건설,35890,코스닥,2012,0
(주)서희건설,35890,코스닥,2013,0
(주)서희건설,35890,코스닥,2014,0
(주)서희건설,35890,코스닥,2015,0
(주)서희건설,35890,코스닥,2016,0
(주)마제스타,35480,코스닥,2012,1
(주)마제스타,35480,코스닥,2013,1
(주)마제스타,35480,코스닥,2014,1
(주)마제스타,35480,코스닥,2015,1
(주)마제스타,35480,코스닥,2016,1
한국전파기지국(주),65530,코스닥,2012,0
한국전파기지국(주),65530,코스닥,2013,0
한국전파기지국(주),65530,코스닥,2014,0
한국전파기지국(주),65530,코스닥,2015,0
한국전파기지국(주),65530,코스닥,2016,0
(주)민앤지,214180,코스닥,2016,0
(주)우리기술,32820,코스닥,2015,1
(주)우리기술,32820,코스닥,2016,1
(주)스튜디오썸머,8800,코스닥,2016,1
(주)위드윈네트웍,43220,코스닥,2012,0
(주)위드윈네트웍,43220,코스닥,2013,0
신일산업(주),2700,코스피,2013,0
계룡건설산업(주),13580,코스피,2012,0
STX조선해양(주),67250,코스피,2012,0
우양에이치씨(주),101970,코스닥,2012,0
우양에이치씨(주),101970,코스닥,2013,0
우양에이치씨(주),101970,코스닥,2014,0
코스모신소재(주),5070,코스피,2012,0
코스모신소재(주),5070,코스피,2013,0
코스모신소재(주),5070,코스피,2014,0
(주)바이오니아,64550,코스닥,2013,0
(주)바이오니아,64550,코스닥,2014,0
(주)대우건설,47040,코스피,2012,0
(주)대우건설,47040,코스피,2013,0
(주)바른테크놀로지,29480,코스닥,2012,0
(주)바른테크놀로지,29480,코스닥,2013,0
(주)바른테크놀로지,29480,코스닥,2014,0
(주)바른테크놀로지,29480,코스닥,2015,0
(주)바른테크놀로지,29480,코스닥,2016,0
(주)케이지이니시스,35600,코스닥,2012,0
(주)케이지이니시스,35600,코스닥,2013,0
(주)케이지이니시스,35600,코스닥,2014,0
(주)케이지이니시스,35600,코스닥,2015,0
(주)카테아,26260,코스닥,2015,1
(주)카테아,26260,코스닥,2016,1
