기업명,기업코드,기업유형,결산기,이익 과대계상 (비용 과소계상),유형,유형,유형,유형,유형
(주)효성,004800,코스피,2013,1,A-10,A-2,A-5,,
(주)효성,004800,코스피,2014,1,A-10,,A-5,,
(주)효성,004800,코스피,2015,1,A-10,,A-5,,
(주)서연,007860,코스피,2012,0,,,,,
한솔홀딩스(주),004150,코스피,2012,1,A-7,A-2,,,
한솔홀딩스(주),004150,코스피,2013,1,A-7,A-2,,,
현대건설(주),000720,코스피,2013,1,A-2,,,,
현대건설(주),000720,코스피,2014,1,A-2,,,,
현대건설(주),000720,코스피,2015,1,A-2,A-9,,,
현대건설(주),000720,코스피,2016,1,A-2,A-9,,,
현대엔지니어링(주),,비상장,2013,1,A-1,A-6,,,
현대엔지니어링(주),,비상장,2014,1,A-1,A-6,,,
현대엔지니어링(주),,비상장,2015,0,,,,,
(주)서희건설,035890,코스닥,2012,0,,,,,
(주)서희건설,035890,코스닥,2013,0,,,,,
(주)서희건설,035890,코스닥,2014,0,,,,,
(주)서희건설,035890,코스닥,2015,0,,,,,
(주)서희건설,035890,코스닥,2016,0,,,,,
(주)마제스타,035480,코스닥,2012,1,A-5,,,,
(주)마제스타,035480,코스닥,2013,1,A-5,A-4,,,
(주)마제스타,035480,코스닥,2014,1,A-5,A-4,,,
(주)마제스타,035480,코스닥,2015,1,A-1,A-7,A-4,,
(주)마제스타,035480,코스닥,2016,1,A-1,A-7,A-4,,
한국전파기지국(주),065530,코스닥,2012,0,,,,,
한국전파기지국(주),065530,코스닥,2013,0,,,,,
한국전파기지국(주),065530,코스닥,2014,0,,,,,
한국전파기지국(주),065530,코스닥,2015,0,,,,,
한국전파기지국(주),065530,코스닥,2016,0,,,,,
(주)민앤지,214180,코스닥,2016,0,,,,,
(주)우리기술,032820,코스닥,2015,1,A-5,A-9,,,
(주)우리기술,032820,코스닥,2016,1,A-5,,,,
(주)나인테크,,비상장,2016,1,A-5,,,,
(주)오리엔트전자,,비상장,2012,0,,,,,
(주)오리엔트전자,,비상장,2013,0,,,,,
(주)오리엔트전자,,비상장,2014,0,,,,,
(주)오리엔트전자,,비상장,2015,0,,,,,
(주)오리엔트전자,,비상장,2016,0,,,,,
(주)스튜디오썸머,008800,코스닥,2016,1,A-7,A-1,,,
(주)루트로닉,,비상장,2018,1,A-4,A-9,,,
(주)루트로닉,,비상장,2019,1,A-7,A-4,A-9,,
(주)위드윈네트웍,043220,코스닥,2012,0,,,,,
(주)위드윈네트웍,043220,코스닥,2013,0,,,,,
원기업(주),,비상장,2012,0,,,,,
신일산업(주),002700,코스피,2013,0,,,,,
홍덕(주),,비상장,2012,0,,,,,
계룡건설산업(주),013580,코스피,2012,0,,,,,
(주)부국엔지니어링,,비상장,2012,0,,,,,
STX조선해양(주),067250,코스피,2012,0,,,,,
우양에이치씨(주),101970,코스닥,2012,0,,,,,
우양에이치씨(주),101970,코스닥,2013,0,,,,,
우양에이치씨(주),101970,코스닥,2014,0,,,,,
코스모신소재(주),005070,코스피,2012,0,,,,,
코스모신소재(주),005070,코스피,2013,0,,,,,
코스모신소재(주),005070,코스피,2014,0,,,,,
(주)바이오니아,064550,코스닥,2013,0,,,,,
(주)바이오니아,064550,코스닥,2014,0,,,,,
(주)대우건설,047040,코스피,2012,0,,,,,
(주)대우건설,047040,코스피,2013,0,,,,,
천조건설(주),,비상장,2015,0,,,,,
천조건설(주),,비상장,2016,1,A-9,,,,
(주)바른테크놀로지,029480,코스닥,2012,0,,,,,
(주)바른테크놀로지,029480,코스닥,2013,0,,,,,
(주)바른테크놀로지,029480,코스닥,2014,0,,,,,
(주)바른테크놀로지,029480,코스닥,2015,0,,,,,
(주)바른테크놀로지,029480,코스닥,2016,0,,,,,
(주)이지시스템,,비상장,2012,1,A-9,,,,
(주)이지시스템,,비상장,2013,1,A-9,,,,
(주)이지시스템,,비상장,2014,1,A-9,,,,
(주)이지시스템,,비상장,2015,1,A-9,,,,
(주)케이지이니시스,035600,코스닥,2012,0,,,,,
(주)케이지이니시스,035600,코스닥,2013,0,,,,,
(주)케이지이니시스,035600,코스닥,2014,0,,,,,
(주)케이지이니시스,035600,코스닥,2015,0,,,,,
(주)카테아,026260,코스닥,2015,1,A-1,A-4,,,
(주)카테아,026260,코스닥,2016,1,A-2,A-4,,,
(주)유아이헬리콥터,,비상장,2015,0,,,,,
(주)대호에이엘,069460,코스피,2012,1,A-6,,,,
(주)대호에이엘,069460,코스피,2013,1,A-6,,,,
(주)대호에이엘,069460,코스피,2014,1,A-6,,,,
(주)인포마스터,,비상장,2015,1,A-1,A-5,,,
평강철강(주),,비상장,2014,1,A-9,,,,
평강철강(주),,비상장,2015,1,A-9,,,,
(주)상보,027580,코스닥,2012,0,,,,,
(주)상보,027580,코스닥,2013,0,,,,,
(주)상보,027580,코스닥,2014,1,A-5,,,,
(주)상보,027580,코스닥,2015,1,A-5,A-6,,,
(주)상보,027580,코스닥,2016,1,A-5,A-6,,,
(주)웅진,016880,코스피,2013,0,,,,,
(주)웅진,016880,코스피,2014,0,,,,,
(주)웅진,016880,코스피,2015,0,,,,,
(주)웅진,016880,코스피,2016,1,A-5,,,,
이엘케이(주),094190,코스닥,2015,0,,,,,
