회사명,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,상장일,상장폐지일,총자본증가율,유형자산증가율,유동자산증가율,영업이익증가율,경상이익증가율 (2007년 이전 발생),순이익증가율,재고자산증가율,자기자본증가율,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액영업이익률,매출액경상이익률 (2007년 이전 발생),매출액순이익률,총자본사업이익률,총자본영업이익률,총자본경상이익률 (2007년 이전 발생),총자본순이익률,자기자본영업이익률,자기자본경상이익률 (2007년 이전 발생),자기자본순이익률,자본금영업이익률,자본금경상이익률 (2007년 이전 발생),자본금순이익률,조세 대 조세차감전순이익률,기업경상이익률 (2007년 이전 발생),투자수익률 (2007년 이전 발생),기업순이익률,경영자본영업이익률,경영자본순이익률,매출원가 대 매출액비율,영업비율,영업외손익률,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,수지비율,인건비 대 총비용비율,조세공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액(원),EPS(Earning Per Share)(원),1주당경상이익 (2007년 이전 발생)(원),CPS(Cash flow Per Share)(원),BPS(Book-value Per Share)(원),유보율,R & D 투자효율,1주당영업이익(원),유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,원재료비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,"매출채권 대 상,제품비율",매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,"상품,제품회전률","원,부재료회전률",재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,부가가치(백만원),종업원1인당 부가가치(백만원),종업원1인당 매출액(백만원),종업원1인당 경상이익 (2007년 이전 발생)(백만원),종업원1인당 순이익(백만원),종업원1인당 인건비(백만원),노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,부가가치(백만원),법인세비용차감전(계속사업)손익(백만원),인건비(백만원),금융비용(백만원),임차료(백만원),조세공과(백만원),감가상각비(백만원),종업원1인당 부가가치(백만원),총자본투자효율,기계투자효율,부가가치율,종업원수
(주)그리드위즈,085871,2017/12,7,73,137209,"건축기술, 엔지니어링 및 기타 과학기술 서비스업",0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,13.51,1.90,,1.70,5.43,5.31,,4.74,6.12,,5.46,129.35,,115.45,4.42,,,4.99,6.89,6.15,86.49,98.10,-0.17,0.09,0,0.09,98.27,3.43,0.05,0.09,1.17,37.01,16.42,1.93,2.67,5.34,0,3.67,95.27,0,0,0,"340,279.34","3,618",,"-31,996.36","204,021.06","2,013.18",6.15,"6,467.60",67.21,0.91,205,66.60,32.79,86.68,13.32,"2,113.18",37.82,35.96,761.37,754.42,523.93,0,"2,873.72",1.05,0,"4,213.15",0,15.36,10.18,71.34,5.18,7.69,58.39,7.19,8.30,13.81,19.78,82.58,20.13,24.08,11.74,55.15,-49.28,-91.22,-6.56,-4.70,20.66,2.79,3.63,3.22,68.06,20.96,0,0,4.15,4.19,454.85,0.80,666.85,"1,430.75",0,15.83,23.06,8.51,67.98,3.67,0,0.04,"2,027.03",0,0,,0,0,0,0,0,9.41,229.12,0,6.74,50.05,49.95,25.17,"2,027.03",519.71,"1,014.49",27.67,103.80,14.06,347.30,0,9.41,0,6.74,0
(주)그리드위즈,085871,2018/12,7,73,137209,"건축기술, 엔지니어링 및 기타 과학기술 서비스업",0,0,8.47,3.99,13.59,84.96,,76.24,16.67,4.81,12.15,0,0,-2.03,0,0,20.01,3.13,,2.67,4.79,4.71,,4,5.53,,4.70,119.63,,101.74,3.83,,,4.11,5.73,4.88,79.99,96.87,-0.41,0.07,0.01,0.24,97.28,6.16,0.05,0.07,1.21,21.29,31.29,0.74,2.95,2.84,0,8.09,95.49,0,0,0,"190,809.50","5,087",,"-1,607.33","107,605.26","2,114.92",7.03,"5,981.35",70.39,0.94,237.68,69.73,29.61,83.76,16.24,"2,214.92",35.35,33.50,606.89,601.20,405.75,0,"2,696.20",1.12,0,"4,161.15",0,19.38,13.85,80.78,5.54,7.89,58.79,6.18,7.38,24.84,38.22,79.98,21.15,45.85,20.73,60.19,-41.01,-107.74,-6.66,-4.61,42.86,1.50,1.83,1.76,38.16,10.12,0,0,2.18,2.20,235.43,1.55,354.73,700.08,0,8.47,43.07,4.82,37.38,1.90,0,0.02,"3,524.99",0,0,,0,0,0,0,0,15.08,383.14,0,10.45,57.52,42.48,25.51,"3,524.99",918.13,"2,027.72",24.67,138.28,16.84,399.36,0,15.08,0,10.45,0
(주)그리드위즈,085871,2019/12,7,73,137209,"건축기술, 엔지니어링 및 기타 과학기술 서비스업",0,0,32,-21.01,45.27,90.15,,110.54,123.04,9.67,43.69,0,0,0.45,0,0,18.05,4.15,,3.91,7.61,7.42,,6.98,9.80,,9.22,227.47,,214.20,3.89,,,7.12,8.40,7.91,81.95,95.85,-0.16,0.08,0,0.10,96.02,5.91,0.08,0.08,0.94,25.03,54.82,0.57,1.82,2.82,0,16.20,95.88,0,0,0,"274,178.64","11,981",,"-28,300.38","118,771","2,329.12",4.79,"11,373.48",77.46,1.44,343.72,76.35,22.54,69.60,30.40,"2,429.12",32.38,30.59,294.13,289.90,96.09,0,"3,786.33",2.18,0,"5,735.24",0,43.69,37.84,97.75,5.85,7.96,51.13,16.01,23,22.34,52.25,66.73,23.29,41.62,14.31,56.84,-28.18,-53.53,-8.57,-5.45,53.27,1.79,2.03,2.36,54.84,7.36,0,0,2.40,2.43,194.49,1.88,296.30,566.03,0,5.64,64.73,6.99,58.86,1.89,0,0.02,"5,629.30",0,0,,0,0,0,0,0,18.25,774.59,0,11.62,48.98,51.02,33.63,"5,629.30","1,933.95","2,756.98",37.74,424.96,35.70,439.97,0,18.25,0,11.62,0
(주)그리드위즈,085871,2020/12,7,73,137209,"건축기술, 엔지니어링 및 기타 과학기술 서비스업",0,0,166.94,-17.90,13.16,0,,0,43.52,211.04,-18.17,0,0,695.54,0,0,20.48,-2.55,,-4.77,-1.69,-1.78,,-3.34,-2.29,,-4.28,-92.29,,-172.85,0,,,-3.16,-3.58,-6.70,79.52,102.55,-2.22,0.26,-0.17,0.07,104.75,8.20,0.11,0.25,1.37,36.71,84.68,0.82,2.16,2.57,0,2.38,98.49,0,0,0,"181,289.67","-11,964",,"-13,864.80","303,891.63","5,022.35",8.90,"-4,614.33",32.84,1.83,48.89,32.24,67.16,81.09,18.91,"5,122.35",82.82,80.73,195.40,191.83,32.08,0,"4,188.46",3.74,0,"5,443.95",0,23.32,20.72,99.72,2.59,13.11,16.03,8.74,10.78,-6.49,-17.41,79.51,50.22,64.22,78.50,72.73,-25.80,-55.81,-4.88,-10.13,-9.83,0.70,1.41,0.90,36.26,3.18,0,0,1.56,1.58,94.65,3.86,130.63,343.60,0,2.35,155.15,1.27,59.93,1.09,0.01,0.01,"2,650.67",0,0,,0,0,0,0,0,3.22,444.23,0,6.68,128.85,-28.85,-71.32,"2,650.67","-1,890.35","3,415.48",102.68,407.96,43.89,571.01,0,3.22,0,6.68,0
(주)그리드위즈,085871,2021/12,7,73,137209,"건축기술, 엔지니어링 및 기타 과학기술 서비스업",0,0,1.38,18.87,-0.28,0,,0,107.11,0.13,7.98,0,0,2.19,0,0,21.63,-6.63,,0.21,-3.37,-3.43,,0.11,-4.25,,0.13,-217.90,,6.87,35.86,,,0.29,-9.70,0.31,78.37,106.63,6.84,0.36,0.26,0.14,99.81,7.36,0.11,0.32,1.12,31.78,84.84,0.95,3.15,2.97,0,2.51,98.49,0,0,0,"164,229.14",567,,496.04,"254,020.99","5,029.22",7.44,"-10,895.05",32.30,3.79,47.71,31.07,67.70,80.10,19.90,"5,129.22",84.52,81.83,187.07,179.97,37.63,0,"1,920.66",8.15,0,"5,609.10",0,24.85,21.56,0,3.29,17.55,15.03,7.69,9.60,-14.09,1.59,78.53,50.29,63.06,130.58,69.45,-8.74,-22.61,-1.74,-3.39,-18.61,0.52,1.46,0.64,32.85,2.66,0,0,1.59,1.63,56.46,6.46,117.28,108.88,0,2.12,171.90,0.77,65.57,1.04,0.02,0.01,"5,034.89",0,0,,0,0,0,0,0,6.03,709.88,0,11.76,69.44,30.56,1.78,"5,034.89",89.55,"3,496.14",152.66,714.67,50.06,531.82,0,6.03,0,11.76,0
(주)그리드위즈,085871,2022/12,7,73,137209,"건축기술, 엔지니어링 및 기타 과학기술 서비스업",0,0,22.90,72.60,47.31,0,,"4,349.42",426.68,-75.07,22.55,0,0,11.26,0,0,23.46,4.64,,7.59,13.55,2.61,,4.28,5.82,,9.54,232.37,,380.62,13.86,,,-2.52,6.16,10.09,76.54,95.36,4.12,-12.06,0.12,0.07,92.72,5.97,0.05,-10.82,2.97,56.56,42.96,-12.34,41.42,49.06,0,10.82,96.64,0,0,0,"250,623.37","25,217",,"31,466.74","73,425.45","2,010.38",6.78,"11,618.73",38.71,13.56,63.17,33.46,61.29,16.25,83.75,"2,110.38",377.14,288.10,49.18,42.51,9.94,0,277.76,0,0,945,0,515.38,484.47,69.38,30.90,0,-40.01,9.06,55.76,0.63,"999,999,999",15.48,20.10,63.54,113.77,93.86,3.91,36.13,3.27,6.40,0,0.56,1.33,1.26,50.12,1.02,0,0,1.57,1.74,16.37,22.29,54.27,23.44,0,3.03,120.37,0.88,54.27,0.65,0.05,0.01,"3,587.39",0,0,,0,0,0,0,0,3.50,293.04,0,6.84,97.31,2.69,111.06,"3,587.39","4,593.40","3,490.78","-6,327.12",62.80,31.88,"1,735.65",0,3.50,0,6.84,0
(주)그리드위즈,085871,2023/12,7,73,137209,"건축기술, 엔지니어링 및 기타 과학기술 서비스업",0,0,-2.65,24.59,-26.37,0,,-14.20,-21.41,371.36,10.86,0,0,12.34,0,0,22.47,-6.35,,5.88,0.41,-3.65,,3.38,-7.76,,7.18,-352.92,,326.57,9.91,,,2.54,-7.72,7.14,77.53,106.35,12.45,-1.46,0.20,0.17,94.94,8.06,0.38,-1.27,2.69,41.73,48.64,-1.58,71.70,47.08,0,6.64,96.60,0,0,0,"17,426.19",732,,"1,045.61","23,088.87","5,928.58",6.60,"-1,106.76",29.28,14.48,41.40,25.04,70.72,78.68,21.32,"6,028.58",89.88,84.97,174.55,149.29,33.49,0,167.20,33.89,59.68,931.77,280.17,27.10,21.32,60.12,5.78,36.35,12.51,4.55,5.78,-1.13,"999,999,999",77.37,59.29,59.28,114.77,79.90,23.66,110.87,5.04,8.66,0,0.57,1.22,1.22,55.57,1.09,9.81,37.21,1.69,1.96,12.09,30.18,49.65,16.01,"11,701.16",5.28,69.15,0.87,42.31,0.70,0.13,0.02,"10,116.53",0,0,,0,0,0,0,0,10.13,995.96,0,17.39,52.98,47.02,33.79,"10,116.53","3,544.72","5,359.48",-847.27,18.77,249.64,"1,791.18",0,10.13,0,17.39,0
(주)네오코너스톤,059803,2012/12,7,46,074605,도매 및 상품 중개업,0,0,-22.57,-1.48,-91.20,0,0,"1,627.36",0,71.05,229.27,0,0,-2.48,0,0,0,46.22,0,43.04,4.18,3.21,0,2.99,56.30,0,52.43,237.46,0,221.13,18.31,0,0,2.01,3.59,3.34,0,53.78,3.06,-14.02,0,0,58.62,16.73,4.88,-20.08,23.34,2.95,8.31,-1.03,0,0,0,81.22,81.22,0,0,0,"25,690.53","11,056",0,"9,273.15","26,596.45",432.36,0,"11,873.05",2.57,0,2.64,2.57,97.43,8.24,91.76,532.36,"1,183","1,009.49",2.85,2.85,0.03,0,0,0,0,0,0,"1,114.26","1,097.07",0,17.19,0,-87.77,89.60,"1,088.02","999,999,999","999,999,999",6.69,4.32,200.20,"1,241.30","1,112.12",1.89,1.93,1.73,21.81,0,0.07,0.08,1.22,5.14,0.07,0,0,0.50,0.50,0,0,0,0,0,141.13,2.59,0.08,0.09,0.07,0.01,0.39,684.82,0,0,0,0,0,0,0,0,5.30,6.17,0,66.64,17.53,82.47,64.58,684.82,506.39,120.04,-144.06,,34.98,167.47,,5.30,,66.64,
(주)네오코너스톤,059803,2013/12,7,46,074605,도매 및 상품 중개업,0,0,-1.06,-1.41,322.29,-6.21,0,-37.94,0,21.08,20.28,0,0,-9.60,0,0,95.91,36.04,0,22.21,4.22,3.46,0,2.13,37.85,0,23.32,161.97,0,99.81,35.27,0,0,1.40,3.75,2.31,4.09,63.96,-5,-7.66,0,0,71.47,33.37,4.21,-9.85,16.96,2.95,11.42,-0.81,0.02,0.02,0,72.85,72.85,0,0,0,"22,473.16","3,921",0,"10,551.76","23,431.44",268.34,0,"8,098.75",10.99,0,12.34,10.99,89.01,10.08,89.92,368.34,883.21,751.97,12.46,12.46,0.26,0,0,0,0,0,0,892.23,874.78,0,17.45,0,-77.18,87.20,865.20,165.22,"999,999,999",7.34,2.68,70.32,970.12,998.75,4.14,4.26,3.72,38.48,0,0.10,0.10,1.05,4.49,0.11,0,0,1.42,1.42,0,0,0,0,0,720.71,0.51,0.10,0.11,0.10,0,1.97,813.12,0,0,0,0,0,0,0,0,6.36,7.43,0,65.78,39.44,60.56,33.76,813.12,383.63,320.72,-94.65,0,40.42,163,0,6.36,0,65.78,0
(주)네오코너스톤,059803,2014/12,7,46,074605,도매 및 상품 중개업,0,0,-15.20,-5.09,-99.59,27.75,0,38.95,0,29.58,-13.62,0,0,-4.79,0,0,0,53.30,0,35.72,5.43,4.81,0,3.23,38.45,0,25.77,162.58,0,108.97,33.86,0,0,4.02,5.01,3.36,0,46.70,-3.36,8.74,0,0.08,55.87,23.64,6.44,13.83,23.21,3.01,14.37,0.90,1.88,1.66,0,78.75,79.05,0,0,0,"15,252.64","5,448",0,"10,296.17","23,864.56",377.31,0,"8,129.24",0.05,0,0.05,0.05,99.95,15.40,84.60,477.31,648.96,568.92,0.06,0.06,0.04,0,0,0,0,0,0,549.30,535.24,0,14.07,0,-82.38,81.36,528.27,3.42,6.71,12.17,3.77,66.09,"1,040.93",972.92,7.09,7.37,6,60.93,6.10,0.09,0.09,0.72,3.05,0.10,0,0,1.51,1.51,0,0,0,0,0,"1,245.11",0.29,0.10,0.10,0.10,0,3.41,986.11,0,0,0,0,0,0,0,0,9.09,9.50,0,92.36,16.18,83.82,38.68,986.11,533.16,159.51,93.35,0,43.48,156.62,0,9.09,0,92.36,0
